Date	Time	Date calibrated	Time calibrated	[CH4] dissolved with water vapour (ppm)	[CH4] dissolved with water vapour (nmol/L)	[CH4] dissolved with constant dry gas flow (ppm)	[CH4] dissolved with constant dry gas flow (nmol/L)	[N2O] dissolved with water vapour (ppm)	[N2O] dissolved with water vapour (nmol/L)	[N2O] dissolved with constant dry gas flow (ppm)	[N2O] dissolved with constant dry gas flow (nmol/L)	[NH3] dissolved (ppm)	Depth (meter)	Hydrostatic Pressure Calibrated (bar)	Carrier gas pressure calibrated (bar)	[CH4] measured (ppm)	[N2O] measured (ppm)	[NH3] measured (ppm)	[H2O] measured (%)	Flow Carrier Gas (sccm)	Total Flow (sccm)	Cavity Pressure (mbar)	Cellule Temperature (Degree Celsius)	Hydrostatic pressure (bar)	LShift	Error Standard	Ringdown Time (microSec)	Box Temperature (Degree Celsius)	Carrier gas pressure (dbar)	PWM Cellule Temperature	PWM Cellule Pressure	Laser Temperature (Degree Celsius)	Laser Flux	Norm Signal	Value Max
2024/12/11	12:02:48	2024/12/11	12:03:13	-0.117754	-0.225113	3.00395	5.74271	-0.21887	-0.418418	5.58345	10.674	-0.0591532	42.4528	4.1632	40.8236	0.354	0.461	0.126	2.349	2	3.11781	30	39.581	2.602	-2.136	0.0074	26.479	18.431	408.236	48.330	0.000	48.332	52.129	0.901	0.7149
2024/12/11	12:02:49	2024/12/11	12:03:14	-0.0441635	-0.0844282	1.074	2.05319	-0.957074	-1.82966	23.2748	44.4949	-0.0257235	42.5181	4.1696	40.8871	-0.595	-0.919	-0.022	-148.302	1.99969	3.12781	30	39.584	2.606	-1.862	0.0152	26.489	18.431	408.871	48.370	0.000	48.329	52.140	0.896	0.7117
2024/12/11	12:02:50	2024/12/11	12:03:15	-0.0746368	-0.142685	1.73453	3.31594	-0.290957	-0.556228	6.76173	12.9265	-0.0219602	42.5181	4.1696	40.87	2.125	-3.588	18.900	3686.331	1.99937	3.11187	30	39.586	2.606	-2.336	0.0121	26.433	18.433	408.700	48.230	0.000	48.331	52.129	0.893	0.7074
2024/12/11	12:02:51	2024/12/11	12:03:16	-0.111108	-0.212408	2.47829	4.7378	-0.25886	-0.494867	5.77392	11.0381	-0.0956474	42.567	4.1744	40.7968	1.902	1.264	25.649	1252.961	2	3.11906	30	39.586	2.609	-2.500	0.0103	26.459	18.435	407.968	48.610	0.000	48.327	52.132	0.903	0.7165
2024/12/11	12:02:52	2024/12/11	12:03:18	-0.0943039	-0.180283	1.93439	3.698	-0.378453	-0.723496	7.76292	14.8405	-0.00180349	42.4528	4.1632	40.8773	0.251	0.585	0.022	0.471	1.99937	3.08281	29.9844	39.581	2.602	-2.241	0.0094	26.527	18.431	408.773	47.960	0.000	48.331	52.129	0.902	0.7177
2024/12/11	12:02:53	2024/12/11	12:03:19	-0.106298	-0.203213	2.10124	4.01698	-0.303404	-0.580024	5.99751	11.4656	-0.0794738	42.6323	4.1808	40.87	0.301	0.641	0.011	6.193	1.99969	3.0925	30	39.574	2.613	-2.191	0.0071	26.479	18.431	408.700	47.960	0.000	48.329	52.132	0.907	0.7198
2024/12/11	12:02:54	2024/12/11	12:03:20	-0.102962	-0.196834	1.94652	3.72121	-0.611784	-1.16956	11.566	22.1109	-0.134843	42.6975	4.1872	40.8871	0.353	0.456	0.129	2.498	2	3.09375	30	39.565	2.617	-2.145	0.0099	26.541	18.431	408.871	48.340	0.000	48.332	52.136	0.894	0.7114
2024/12/11	12:02:55	2024/12/11	12:03:20	-0.103442	-0.197751	1.96717	3.76067	-0.614634	-1.17501	11.6886	22.3453	-0.135472	42.567	4.1744	40.8968	0.093	-1.004	-0.497	43.024	1.99906	3.12656	30	39.567	2.609	-2.322	0.0118	26.528	18.429	408.968	49.060	0.000	48.332	52.132	0.902	0.7169
2024/12/11	12:02:56	2024/12/11	12:03:22	-0.177678	-0.33967	3.07909	5.88636	-0.320649	-0.612992	5.55674	10.6229	-0.105045	42.567	4.1744	40.8236	-0.040	-2.565	-2.881	634.253	1.99969	3.075	30	39.581	2.609	-2.280	0.0114	26.445	18.428	408.236	49.100	0.000	48.328	52.129	0.903	0.7160
2024/12/11	12:02:57	2024/12/11	12:03:22	-0.179056	-0.342305	3.13228	5.98805	-0.323137	-0.617747	5.65273	10.8064	-0.10586	42.567	4.1744	40.8261	-0.040	-2.565	-2.881	634.253	2.00031	3.12812	30.0156	39.570	2.609	-2.280	0.0114	26.445	18.433	408.261	48.270	0.000	48.331	52.136	0.903	0.7160
2024/12/11	12:02:58	2024/12/11	12:03:23	-0.177097	-0.33856	2.98647	5.7093	-0.342899	-0.655527	5.78247	11.0545	-0.102006	42.257	4.144	40.8432	0.294	0.532	0.044	1.331	2.00031	3.11625	30	39.588	2.590	-2.233	0.0074	26.763	18.431	408.432	48.820	0.000	48.330	52.136	0.900	0.7225
2024/12/11	12:02:59	2024/12/11	12:03:25	0.175242	0.335013	-2.64455	-5.05565	1.10829	2.11873	-16.725	-31.9735	0.0987121	42.4528	4.1632	40.892	0.304	0.571	0.050	2.269	1.99969	3.10344	30	39.582	2.602	-2.206	0.0067	26.457	18.431	408.920	48.520	0.000	48.328	52.129	0.901	0.7148
2024/12/11	12:03:00	2024/12/11	12:03:26	0.0991583	0.189563	-1.55542	-2.97353	2.26579	4.33155	-35.5416	-67.9456	1.40845	42.3223	4.1504	40.8358	0.583	0.469	-0.044	14.850	2	3.10125	29.9844	39.594	2.594	-2.324	0.0085	26.769	18.431	408.358	48.550	0.000	48.332	52.132	0.905	0.7266
2024/12/11	12:03:01	2024/12/11	12:03:26	0.0996157	0.190437	-1.56906	-2.9996	2.27624	4.35153	-35.8532	-68.5413	1.41495	42.2081	4.1392	40.7968	0.570	0.476	-0.038	12.821	1.99937	3.12844	30	39.577	2.587	-2.261	0.0077	26.726	18.429	407.968	49.100	0.000	48.328	52.132	0.905	0.7252
2024/12/11	12:03:02	2024/12/11	12:03:28	-4.19016e-06	-8.01041e-06	1.66599	3.18491	-1.18311e-05	-2.26178e-05	4.70402	8.99277	-2.52308e-06	41.8328	4.1024	40.8334	0.628	0.533	0.014	16.388	2.00031	3.05844	29.9844	39.575	2.564	-2.247	0.0062	26.708	18.431	408.334	48.790	0.000	48.328	52.136	0.902	0.7225
2024/12/11	12:03:03	2024/12/11	12:03:28	-4.19016e-06	-8.01041e-06	1.69663	3.24349	-1.18311e-05	-2.26178e-05	4.79054	9.15817	-2.52308e-06	41.947	4.1136	40.8114	0.620	0.490	0.060	10.987	2	3.11469	30	39.570	2.571	-2.203	0.0065	26.650	18.431	408.114	48.790	0.000	48.330	52.136	0.900	0.7191
2024/12/11	12:03:04	2024/12/11	12:03:30	1.2085e-05	2.31032e-05	-4.64808	-8.88583	3.24397e-05	6.20156e-05	-12.4768	-23.8521	9.39511e-06	41.7023	4.0896	40.8529	0.425	0.789	-0.057	36.699	2	3.10438	30	39.588	2.556	-2.380	0.0107	26.475	18.431	408.529	48.480	0.000	48.331	52.132	0.899	0.7138
2024/12/11	12:03:05	2024/12/11	12:03:30	1.2085e-05	2.31032e-05	-4.67568	-8.93859	3.24397e-05	6.20156e-05	-12.5509	-23.9937	9.39511e-06	41.7023	4.0896	40.7651	0.142	1.108	0.121	-57.939	1.99969	3.12281	30	39.586	2.556	-2.191	0.0115	26.455	18.429	407.651	48.350	0.000	48.332	52.132	0.906	0.7184
2024/12/11	12:03:06	2024/12/11	12:03:31	-0.00122977	-0.00235097	463.369	885.833	-0.0111415	-0.0212994	4198.04	8025.48	-0.0154779	41.7676	4.096	40.8017	0.301	0.590	0.048	1.241	2.00062	3.10969	30	39.581	2.560	-2.206	0.0082	26.808	18.429	408.017	48.550	0.000	48.330	52.132	0.901	0.7241
2024/12/11	12:03:07	2024/12/11	12:03:32	1.63908e-06	3.13347e-06	-0.607316	-1.16102	1.512e-05	2.89052e-05	-5.6023	-10.71	3.60627e-05	41.637	4.0832	40.8188	0.437	0.473	-0.037	18.862	1.99969	3.12781	30	39.575	2.552	-2.179	0.0075	26.418	18.429	408.188	49.110	0.000	48.333	52.136	0.903	0.7149
2024/12/11	12:03:08	2024/12/11	12:03:34	-2.69332e-05	-5.14887e-05	9.38268	17.9371	-0.000107932	-0.000206335	37.6001	71.8808	0.000126378	41.3923	4.0592	40.8236	0.404	0.447	0.151	1.188	2	3.07187	30	39.582	2.537	-2.158	0.0068	26.433	18.431	408.236	49.490	0.000	48.332	52.136	0.895	0.7093
2024/12/11	12:03:09	2024/12/11	12:03:34	-2.69332e-05	-5.14887e-05	9.54401	18.2455	-0.000107932	-0.000206335	38.2466	73.1167	0.000126378	41.3271	4.0528	40.8944	0.372	0.439	0.149	1.034	1.99969	3.12469	30.0156	39.567	2.533	-2.194	0.0064	26.365	18.433	408.944	49.870	0.000	48.330	52.132	0.899	0.7107
