Date,Time,Date calibrated,Time calibrated,[CH4] dissolved with water vapour (ppm),[CH4] dissolved with water vapour (nmol/L),[CH4] dissolved with constant dry gas flow (ppm),[CH4] dissolved with constant dry gas flow (nmol/L),[N2O] dissolved with water vapour (ppm),[N2O] dissolved with water vapour (nmol/L),[N2O] dissolved with constant dry gas flow (ppm),[N2O] dissolved with constant dry gas flow (nmol/L),[NH3] dissolved (ppm),Depth (meter),Hydrostatic Pressure Calibrated (bar),Carrier gas pressure calibrated (bar),[CH4] measured (ppm),[N2O] measured (ppm),[NH3] measured (ppm),[H2O] measured (%),Flow Carrier Gas (sccm),Total Flow (sccm),Cavity Pressure (mbar),Cellule Temperature (Degree Celsius),Hydrostatic pressure (bar),LShift,Error Standard,Ringdown Time (microSec),Box Temperature (Degree Celsius),Carrier gas pressure (dbar),PWM Cellule Temperature,PWM Cellule Pressure,Laser Temperature (Degree Celsius),Laser Flux,Norm Signal,Value Max,datetime,Cavity Pressure (mbar)_FLAG,Cellule Temperature (Degree Celsius)_FLAG,Depth (meter)_FLAG,Flow Carrier Gas (sccm)_FLAG,Total Flow (sccm)_FLAG,[CH4] dissolved with water vapour (ppm)_FLAG,Error Standard_FLAG,[CH4] dissolved with water vapour (ppm)_RSD,[N2O] dissolved with water vapour (ppm)_RSD,[N2O] dissolved with water vapour (ppm)_FLAG,[NH3] measured (ppm)_RSD,[NH3] measured (ppm)_FLAG,[H2O] measured (%)_RSD,[H2O] measured (%)_FLAG
2024/12/11,09:58:14,2024/12/11,09:58:26,8.25952,10.0955,139.322,170.293,0.532549,0.650931,8.98309,10.98,1.05318,-1.30524,-0.128,44.5495,3.83,0.288,0.855,-1.547,2.0,6.35375,30.0,34.283,-0.08,-40.215,0.036,26.89,16.319,445.495,100,0,48.335,52.121,0.887,0.715,2024-12-11 09:58:14,0,1,0,0,0,0,0,0.0001569098446398822,0.002433578881943257,1,0.0015157894736842104,1,-0.0008377504848093083,0
2024/12/11,09:58:15,2024/12/11,09:58:27,8.36195,10.2207,140.611,171.867,0.316303,0.386615,5.31881,6.50114,1.21883,-1.23997,-0.1216,44.5959,3.234,1.769,-0.369,40.772,1.99937,6.365,30.0,34.302,-0.076,-40.41,0.0468,26.955,16.324,445.959,100,0,48.34,52.129,0.882,0.7124,2024-12-11 09:58:15,0,1,0,0,0,0,0,0.00026192933466476123,0.006924499609551601,1,-0.005935609756097561,0,5.37192190719121e-05,0
2024/12/11,09:58:16,2024/12/11,09:58:28,12.1203,14.8145,136.537,166.888,0.650563,0.795178,7.32869,8.9578,1.66743,-1.43576,-0.1408,44.5983,3.277,1.463,-0.28,35.731,2.0,6.43281,30.0,34.297,-0.088,-40.469,0.0376,26.57,16.326,445.983,100,0,48.334,52.129,0.876,0.6981,2024-12-11 09:58:16,0,1,0,0,0,0,0,0.0001166439774593038,0.002173133117007884,1,-0.005049142857142857,0,3.9566762755030646e-05,0
2024/12/11,09:58:17,2024/12/11,09:58:29,12.1898,14.8995,114.314,139.725,4.07336,4.97884,38.1994,46.6908,-0.753619,-1.3705,-0.1344,44.6056,3.987,0.223,0.894,-8.441,2.00031,6.40156,30.0,34.317,-0.084,-40.42,0.0364,26.627,16.329,446.056,100,0,48.336,52.129,0.883,0.7049,2024-12-11 09:58:17,0,1,0,0,0,0,0,0.00010869415412886184,0.0003252744662882731,0,0.0014820581655480985,1,-0.0001569671839829404,0
2024/12/11,09:58:18,2024/12/11,09:58:31,7.85883,9.60578,127.409,155.731,0.194341,0.237541,3.15069,3.85106,1.41449,-1.43576,-0.1408,44.5617,3.845,0.255,0.869,-1.539,2.0,6.32781,30.0,34.305,-0.088,-40.492,0.0365,26.666,16.331,445.617,100,0,48.336,52.125,0.887,0.7087,2024-12-11 09:58:18,0,1,0,0,0,0,0,0.0001695226897642524,0.006855218404762761,1,0.001533084004602992,1,-0.0008656595191682911,0
2024/12/11,09:58:19,2024/12/11,09:58:31,7.8351,9.57678,128.195,156.692,0.193754,0.236824,3.17014,3.87484,1.41022,-1.23997,-0.1216,44.5544,3.259,1.353,-0.271,26.042,2.0,6.36688,30.0,34.324,-0.076,-40.699,0.0388,26.642,16.335,445.544,100,0,48.337,52.117,0.879,0.7024,2024-12-11 09:58:19,0,1,0,0,0,0,0,0.0001921404959732486,0.0077698524933678785,1,-0.005555129151291513,0,5.780815605560249e-05,0
2024/12/11,09:58:20,2024/12/11,09:58:32,7.59997,9.28938,127.931,156.369,0.345805,0.422674,5.82097,7.11493,1.25374,-1.3705,-0.1344,44.591,3.266,1.54,-0.343,28.664,2.0,6.3875,30.0,34.317,-0.084,-40.766,0.0459,26.949,16.335,445.91,100,0,48.336,52.125,0.893,0.7213,2024-12-11 09:58:20,0,1,0,0,0,0,0,0.0002772129363668541,0.0060924798658203334,1,-0.006142303206997084,0,7.350020932179737e-05,0
2024/12/11,09:58:21,2024/12/11,09:58:33,10.401,12.713,112.153,137.084,3.27731,4.00583,35.3391,43.1946,-0.701809,-1.3705,-0.1344,44.5178,3.789,0.224,0.965,1.764,2.0,6.37,30.0,34.335,-0.084,-40.7,0.0383,26.928,16.335,445.178,100,0,48.333,52.125,0.891,0.7195,2024-12-11 09:58:21,0,1,0,0,0,0,0,0.00014103355446591675,0.00044758963906374433,0,0.0015200932642487047,1,0.0008315702947845804,0
2024/12/11,09:58:22,2024/12/11,09:58:34,8.20679,10.0311,112.081,136.995,2.50815,3.06569,34.2539,41.8683,-0.621066,-1.30524,-0.128,44.4885,3.707,0.275,0.799,0.594,1.99969,6.34875,30.0,34.328,-0.08,-40.778,0.0359,26.643,16.336,444.885,100,0,48.333,52.125,0.88,0.7032,2024-12-11 09:58:22,0,1,0,0,0,0,0,0.00015704191285508708,0.0005138488527400674,0,0.001613028785982478,1,0.002169713804713805,1
2024/12/11,09:58:23,2024/12/11,09:58:35,8.51521,10.4081,121.704,148.757,0.395718,0.483682,5.6558,6.91303,1.31232,-1.23997,-0.1216,44.5617,3.226,1.6,-0.347,33.52,1.99969,6.35375,30.0,34.345,-0.076,-40.971,0.0434,26.662,16.338,445.617,100,0,48.336,52.121,0.886,0.7084,2024-12-11 09:58:23,0,1,0,0,0,0,0,0.00022119947717085076,0.004759854239635296,1,-0.005428126801152738,0,5.619212410501193e-05,0
2024/12/11,09:58:25,2024/12/11,09:58:37,8.29915,10.144,115.859,141.614,2.32603,2.84309,32.4723,39.6906,-0.7133,-1.43576,-0.1408,44.5934,3.807,0.202,0.763,-2.065,2.0,6.39969,30.0,34.342,-0.088,-40.885,0.0446,26.642,16.342,445.934,100,0,48.337,52.125,0.885,0.7069,2024-12-11 09:58:25,0,1,0,0,0,0,0,0.000239682377110909,0.0008551738369668492,0,0.002607024901703801,1,-0.0009632736077481842,0
2024/12/11,09:58:26,2024/12/11,09:58:38,6.68843,8.17522,115.368,141.014,1.49015,1.8214,25.7035,31.4171,-0.551345,-1.3705,-0.1344,44.53,4.02,0.335,0.699,1.852,2.00031,6.37406,30.0,34.355,-0.084,-40.977,0.0332,26.63,16.342,445.3,100,0,48.333,52.117,0.887,0.7084,2024-12-11 09:58:26,0,1,0,0,0,0,0,0.0001647980168739151,0.0007396839244371372,0,0.001576881258941345,1,0.0005951619870410367,0
2024/12/11,09:58:27,2024/12/11,09:58:39,9.70157,11.8582,113.314,138.503,0.797276,0.974504,9.31215,11.3822,1.29224,-1.3705,-0.1344,44.508,4.05,0.198,0.805,2.187,1.99937,6.36313,30.0,34.355,-0.084,-41.029,0.0412,26.616,16.343,445.08,100,0,48.336,52.129,0.887,0.708,2024-12-11 09:58:27,0,1,0,0,0,0,0,0.00017496549527550696,0.0021290494132521235,1,0.0021086211180124225,1,0.0007761499771376316,0
2024/12/11,09:58:28,2024/12/11,09:58:40,9.43043,11.5267,112.722,137.78,0.755126,0.922985,9.02606,11.0325,1.26988,-1.30524,-0.128,44.6008,3.892,0.27,0.73,21.64,2.0,6.38844,30.0,34.376,-0.08,-41.119,0.0391,26.665,16.345,446.008,100,0,48.335,52.129,0.887,0.709,2024-12-11 09:58:28,0,1,0,0,0,0,0,0.0001621145589331558,0.0020245760310199892,1,0.002094260273972603,1,7.064741219963032e-05,0
2024/12/11,09:58:29,2024/12/11,09:58:41,6.75564,8.25736,127.761,156.161,1.07581,1.31496,20.3455,24.8681,-0.405739,-1.17471,-0.1152,44.5568,3.274,1.414,-0.276,27.657,1.99969,6.37312,30.0,34.362,-0.072,-41.303,0.0429,26.629,16.347,445.568,100,0,48.332,52.121,0.884,0.7057,2024-12-11 09:58:29,0,1,0,0,0,0,0,0.00027242570652077376,0.0017107202944757905,1,-0.006668152173913043,0,6.654409371949235e-05,0
2024/12/11,09:58:30,2024/12/11,09:58:42,6.29702,7.6968,125.463,153.353,0.950367,1.16163,18.9353,23.1445,-0.343672,-1.43576,-0.1408,44.5129,3.19,1.258,-0.255,18.58,2.0,6.3875,30.0,34.378,-0.088,-41.366,0.0379,26.944,16.35,445.129,100,0,48.333,52.125,0.895,0.7228,2024-12-11 09:58:30,0,1,0,0,0,0,0,0.00022810948670958647,0.0015114266383407676,1,-0.0056329803921568635,0,7.730947255113027e-05,0
2024/12/11,09:58:31,2024/12/11,09:58:43,7.68441,9.39259,106.438,130.098,0.852688,1.04223,11.8107,14.4361,0.647516,-1.43576,-0.1408,44.5739,3.692,0.118,0.906,3.739,2.00031,6.35187,30.0,34.374,-0.088,-41.323,0.0445,26.623,16.352,445.739,100,0,48.329,52.129,0.879,0.7016,2024-12-11 09:58:31,0,1,0,0,0,0,0,0.00025769707758956117,0.0023223617548270878,1,0.002185706401766004,1,0.0005296202193099758,0
2024/12/11,09:58:32,2024/12/11,09:58:44,7.73975,9.46023,106.278,129.903,0.866361,1.05895,11.8964,14.5409,0.55904,-1.30524,-0.128,44.5446,3.673,0.216,0.826,2.417,2.0,6.35469,30.0,34.388,-0.08,-41.382,0.0372,26.884,16.352,445.446,100,0,48.338,52.125,0.877,0.7065,2024-12-11 09:58:32,0,1,0,0,0,0,0,0.0001787964727542879,0.0015973018176025924,1,0.0016753510895883774,1,0.0005725444766239139,0
2024/12/11,09:58:33,2024/12/11,09:58:45,8.57864,10.4856,108.255,132.319,0.985071,1.20404,12.4307,15.194,0.550155,-1.43576,-0.1408,44.613,3.229,1.315,-0.297,22.645,1.99937,6.38094,30.0,34.393,-0.088,-41.574,0.0413,26.928,16.354,446.13,100,0,48.331,52.121,0.895,0.7222,2024-12-11 09:58:33,0,1,0,0,0,0,0,0.00019882988445721006,0.0017315401630948431,1,-0.0057430639730639745,0,7.532302936630604e-05,0
2024/12/11,09:58:34,2024/12/11,09:58:46,5.64232,6.89656,128.725,157.339,0.707552,0.864835,16.1422,19.7305,-0.332274,-1.3705,-0.1344,44.5154,3.238,1.279,-0.334,12.689,1.99906,6.38094,30.0,34.402,-0.084,-41.661,0.0436,26.604,16.359,445.154,100,0,48.333,52.129,0.889,0.7092,2024-12-11 09:58:34,0,1,0,0,0,0,0,0.00033691105786272314,0.0026866717923205645,1,-0.005691497005988024,0,0.000149811647883994,0
2024/12/11,09:58:35,2024/12/11,09:58:47,5.70433,6.97236,138.02,168.701,0.639262,0.781365,15.4674,18.9056,-0.393072,-1.3705,-0.1344,44.5544,3.513,0.211,0.738,10.59,2.00031,6.39156,30.0,34.395,-0.084,-41.629,0.0377,26.888,16.357,445.544,100,0,48.338,52.129,0.875,0.7054,2024-12-11 09:58:35,0,1,0,0,0,0,0,0.0002491598487464785,0.0022233294017163538,1,0.0019258672086720865,1,0.00013421057601510858,0
2024/12/11,09:58:36,2024/12/11,09:58:48,8.52206,10.4164,110.298,134.816,1.06807,1.30549,13.8236,16.8965,0.667735,-1.43576,-0.1408,44.591,3.425,0.191,0.729,10.743,1.99937,6.39219,30.0,34.414,-0.088,-41.681,0.0402,26.91,16.361,445.91,100,0,48.336,52.125,0.878,0.7085,2024-12-11 09:58:36,0,1,0,0,0,0,0,0.0001896302067809896,0.0015130468976752459,1,0.00221679012345679,1,0.000150427254956716,0
2024/12/11,09:58:37,2024/12/11,09:58:49,5.49342,6.71456,124.959,152.737,0.782811,0.956823,17.8067,21.765,-0.345048,-1.43576,-0.1408,44.5422,3.321,1.203,-0.389,12.254,1.99969,6.39156,30.0,34.417,-0.088,-41.876,0.0466,26.856,16.363,445.422,100,0,48.332,52.129,0.873,0.7029,2024-12-11 09:58:37,0,1,0,0,0,0,0,0.0003953020158662546,0.0027740540181474204,1,-0.00558241645244216,0,0.00017721233882813777,0
2024/12/11,09:58:38,2024/12/11,09:58:50,5.78946,7.07641,127.38,155.696,0.825483,1.00898,18.1624,22.1998,-0.357341,-1.3705,-0.1344,44.552,3.32,0.956,-0.373,0.832,2.0,6.4025,30.0,34.41,-0.084,-41.953,0.0457,26.922,16.364,445.52,100,0,48.337,52.125,0.892,0.7201,2024-12-11 09:58:38,0,1,0,0,0,0,0,0.00036074003447644505,0.002530021817529858,1,-0.005599168900804289,0,0.0025102043269230765,1
2024/12/11,09:58:39,2024/12/11,09:58:51,5.46176,6.67587,131.516,160.751,0.70301,0.859283,16.9281,20.6911,-0.317663,-1.23997,-0.1216,44.552,3.267,0.347,0.593,19.567,1.99969,6.39562,30.0,34.426,-0.076,-41.904,0.0389,26.993,16.368,445.52,100,0,48.332,52.125,0.9,0.7281,2024-12-11 09:58:39,0,1,0,0,0,0,0,0.0002770553814155144,0.002152472937796048,1,0.002551787521079258,1,7.733479838503602e-05,0
2024/12/11,09:58:40,2024/12/11,09:58:52,8.96504,10.9579,106.567,130.256,1.10378,1.34915,13.1206,16.0372,0.548393,-1.30524,-0.128,44.5398,3.237,0.335,0.594,18.9,2.0,6.36594,30.0,34.424,-0.08,-41.938,0.0718,26.811,16.366,445.398,100,0,48.335,52.125,0.858,0.6893,2024-12-11 09:58:40,0,1,0,0,0,0,0,0.0005750381481845033,0.004670532171266013,1,0.00867885521885522,1,0.0002727640211640212,0
2024/12/11,09:58:41,2024/12/11,09:58:53,8.17758,9.99539,104.205,127.369,0.958219,1.17122,12.2103,14.9246,0.466683,-1.17471,-0.1152,44.5568,3.678,0.757,-0.301,-4.798,2.00031,6.35344,30.0,34.433,-0.072,-42.18,0.0435,26.874,16.366,445.568,100,0,48.334,52.129,0.864,0.6961,2024-12-11 09:58:41,0,1,0,0,0,0,0,0.00023139486253879505,0.0019747573362665525,1,-0.006286544850498338,0,-0.00039438307628178405,0
2024/12/11,09:58:42,2024/12/11,09:58:54,6.7628,8.26611,161.814,197.784,0.3027,0.369987,7.2427,8.85269,0.678205,-1.17471,-0.1152,44.552,3.604,0.703,-0.268,-8.017,1.99969,6.38875,30.0,34.441,-0.072,-42.254,0.0403,26.933,16.368,445.52,100,0,48.333,52.129,0.895,0.7227,2024-12-11 09:58:42,0,1,0,0,0,0,0,0.00024015052936653459,0.005365345226296663,1,-0.006060037313432836,0,-0.00020258076587252092,0
2024/12/11,09:58:43,2024/12/11,09:58:55,5.99877,7.33225,141.455,172.899,0.532375,0.650717,12.5537,15.3443,-0.32708,-1.17471,-0.1152,44.5276,3.075,0.441,0.353,12.076,1.99937,6.40594,30.0,34.453,-0.072,-42.198,0.0409,26.744,16.373,445.276,100,0,48.332,52.125,0.899,0.7208,2024-12-11 09:58:43,0,1,0,0,0,0,0,0.0002788588327273757,0.0031421648274242773,1,0.004738838526912181,1,0.00013852351772109968,0
