Date,Time,Date calibrated,Time calibrated,[CH4] dissolved with water vapour (ppm),[CH4] dissolved with water vapour (nmol/L),[CH4] dissolved with constant dry gas flow (ppm),[CH4] dissolved with constant dry gas flow (nmol/L),[N2O] dissolved with water vapour (ppm),[N2O] dissolved with water vapour (nmol/L),[N2O] dissolved with constant dry gas flow (ppm),[N2O] dissolved with constant dry gas flow (nmol/L),[NH3] dissolved (ppm),Depth (meter),Hydrostatic Pressure Calibrated (bar),Carrier gas pressure calibrated (bar),[CH4] measured (ppm),[N2O] measured (ppm),[NH3] measured (ppm),[H2O] measured (%),Flow Carrier Gas (sccm),Total Flow (sccm),Cavity Pressure (mbar),Cellule Temperature (Degree Celsius),Hydrostatic pressure (bar),LShift,Error Standard,Ringdown Time (microSec),Box Temperature (Degree Celsius),Carrier gas pressure (dbar),PWM Cellule Temperature,PWM Cellule Pressure,Laser Temperature (Degree Celsius),Laser Flux,Norm Signal,Value Max,datetime,Cavity Pressure (mbar)_FLAG,Cellule Temperature (Degree Celsius)_FLAG,Depth (meter)_FLAG,Flow Carrier Gas (sccm)_FLAG,Total Flow (sccm)_FLAG,[CH4] dissolved with water vapour (ppm)_FLAG,Error Standard_FLAG,[CH4] dissolved with water vapour (ppm)_RSD,[N2O] dissolved with water vapour (ppm)_RSD,[N2O] dissolved with water vapour (ppm)_FLAG,[NH3] measured (ppm)_RSD,[NH3] measured (ppm)_FLAG,[H2O] measured (%)_RSD,[H2O] measured (%)_FLAG,is_downcast,Dry gas Flow [sccm],water vapour,[CH4] dissolved with water vapour (ppm) corrected Tcell,[CH4] dissolved with water vapour (nmol/L) corrected Tcell,H20 measured,[H2O] measured corrected Tcell,Total Flow (sccm) corrected Tcell
2024/11/27,12:58:46,2024/11/27,12:58:55,11.1496,12.3617,250.431,277.656,0.727283,0.806349,16.3355,18.1114,0.252027,-1.46392,-0.1472,45.284,3.183,0.541,,,1.99969,8.68219,30.0469,39.696,-0.092,0.554,0.009,26.571,25.37,452.84,37.39,0.0,48.314,52.148,0.89,0.7093,2024-11-27 12:58:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.264834612900911e-06,0.00011137342685034572,0.0,0.001588235294117647,1.0,8.324768756423432e-06,0.0,True,,,11.181041087538157,11.181041087538157,,,
2024/11/27,12:58:47,2024/11/27,12:58:56,8.91409,9.88318,210.75,233.661,0.86404,0.957973,20.4279,22.6487,0.147628,-1.27297,-0.128,45.323,2.764,0.634,,,2.0,8.90375,29.9375,39.674,-0.08,0.564,0.0059,26.445,25.37,453.23,37.39,0.0,48.315,52.152,0.874,0.693,2024-11-27 12:58:47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.905053684672244e-06,4.0287486690431e-05,0.0,0.011603333333333334,1.0,2.1144384377088014e-06,0.0,True,,,8.941051741526573,8.941051741526573,,,
2024/11/27,12:58:48,2024/11/27,12:58:57,10.1192,11.2192,230.164,255.186,0.827973,0.917985,18.8325,20.8799,-0.0198047,-1.27297,-0.128,45.2596,2.787,0.665,0.022,17.691200000000002,1.99969,8.66281,29.9531,39.694,-0.08,0.473,0.0039,26.587,25.37,452.596,37.76,0.0,48.316,52.152,0.882,0.7031,2024-11-27 12:58:48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5030832476875641e-06,1.8370164244486232e-05,0.0,0.0006913636363636363,0.0,1.1028132250580045e-06,0.0,True,5.13056495728,1.5325550427200003,10.147923698027265,10.147923698027265,0.176912,0.17825876996330053,7.308513727243301
2024/11/27,12:58:49,2024/11/27,12:58:58,7.99359,8.86261,179.902,199.459,1.34414,1.49027,30.2509,33.5396,0.00759779,-1.03429,-0.104,45.2571,2.467,0.79,-0.062,19.7894,2.0,8.54969,30.0469,39.704,-0.065,0.55,0.0115,26.603,25.372,452.571,37.79,0.0,48.317,52.148,0.89,0.7097,2024-11-27 12:58:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6544506285661384e-05,9.839004865564598e-05,0.0,-0.002133064516129032,0.0,4.246403801695351e-06,0.0,True,4.85775764714,1.69193235286,8.015536539043902,8.015536539043902,0.19789400000000001,0.19935090425249424,7.057108551392494
2024/11/27,12:58:50,2024/11/27,12:58:59,8.55013,9.47965,194.124,215.228,1.11435,1.2355,25.3005,28.051,0.0256684,-1.33662,-0.1344,45.2425,2.402,0.849,-0.065,18.5732,2.0,8.57031,30.0156,39.711,-0.084,0.563,0.0135,26.862,25.377,452.425,37.64,0.0,48.315,52.148,0.89,0.7166,2024-11-27 12:58:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1315465378888974e-05,0.00016354825683133665,0.0,-0.0028038461538461537,0.0,1.0518266289605815e-05,0.0,True,4.978529183079999,1.5917808169199998,8.573047900299475,8.573047900299475,0.185732,0.18706679830328124,7.16559598138328
2024/11/27,12:58:51,2024/11/27,12:59:00,9.33327,10.3479,219.765,243.657,0.958646,1.06286,22.5727,25.0267,0.102889,-1.27297,-0.128,45.2571,2.45,0.852,-0.058,15.878200000000001,1.99969,8.77781,30.0313,39.701,-0.08,0.539,0.0107,26.585,25.377,452.571,37.67,0.0,48.316,52.152,0.89,0.7096,2024-11-27 12:58:51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2266868953753612e-05,0.00011942886112287537,0.0,-0.001973965517241379,0.0,5.661935611493002e-06,0.0,True,5.38436177258,1.3937582274200002,9.35915508317128,9.35915508317128,0.158782,0.15996289568444022,7.544014668264441
2024/11/27,12:58:52,2024/11/27,12:59:01,9.35565,10.3727,215.133,238.521,1.13238,1.25548,26.039,28.8698,0.0465574,-1.27297,-0.128,45.2937,2.765,0.66,0.034,9.406600000000001,2.00031,8.63375,29.9844,39.711,-0.08,0.496,0.0043,26.518,25.38,452.937,37.87,0.0,48.317,52.152,0.877,0.6972,2024-11-27 12:58:52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9763458444896934e-06,1.6328440982708988e-05,0.0,0.0005438235294117647,0.0,1.7809670583702564e-06,0.0,True,5.821297672499999,0.8121423274999999,9.380727028529016,9.380727028529016,0.09406600000000001,0.09474202317961608,7.916349695679615
2024/11/27,12:58:53,2024/11/27,12:59:02,9.24902,10.2545,210.092,232.932,1.11563,1.23692,25.3417,28.0967,0.0512656,-1.33662,-0.1344,45.2718,2.892,0.505,0.137,6.072,1.99969,8.5625,30.0156,39.687,-0.084,0.591,0.0097,26.591,25.382,452.718,37.2,0.0,48.316,52.152,0.895,0.7131,2024-11-27 12:58:53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.017296967678738e-05,8.43379973647177e-05,0.0,0.0006867883211678832,0.0,0.00029681388012618297,0.0,True,6.042895,0.519915,9.275875979930895,9.275875979930895,0.06072,0.061192896871234,8.103777896871234
2024/11/27,12:58:54,2024/11/27,12:59:03,8.02929,8.90219,185.101,205.224,1.16579,1.29253,26.8752,29.797,0.0313783,-1.40027,-0.1408,45.2547,2.328,0.746,,1.7704,1.99969,8.61156,30.0625,39.711,-0.088,0.52,0.012,26.641,25.382,452.547,37.74,0.0,48.317,52.14,0.883,0.7052,2024-11-27 12:58:54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.793433790534406e-05,0.0001235213889293955,0.0,0.0042352941176470585,1.0,-0.00011861614497528832,0.0,True,6.459410941760001,0.15245905824,8.05081183273185,8.05081183273185,0.017704,0.017831233159397903,8.476932174919398
2024/11/27,12:58:55,2024/11/27,12:59:04,9.13371,10.1267,209.31,232.065,1.07563,1.19257,24.6494,27.3291,-0.0995778,-1.20932,-0.1216,45.301,3.113,0.469,0.163,2.2216,2.0,8.64375,30.0625,39.684,-0.076,0.569,0.0108,26.85,25.384,453.01,36.91,0.0,48.313,52.148,0.89,0.7165,2024-11-27 12:58:55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2770276262329327e-05,0.00010843877541533799,0.0,0.0007155828220858896,0.0,0.00017834862385321103,0.0,True,6.451720450000001,0.19202955000000002,9.160486100872852,9.160486100872852,0.022216,0.022390693083061772,8.474111143083062
