Date	Time	Date calibrated	Time calibrated	[CH4] dissolved with water vapour (ppm)	[CH4] dissolved with water vapour (nmol/L)	[CH4] dissolved with constant dry gas flow (ppm)	[CH4] dissolved with constant dry gas flow (nmol/L)	[N2O] dissolved with water vapour (ppm)	[N2O] dissolved with water vapour (nmol/L)	[N2O] dissolved with constant dry gas flow (ppm)	[N2O] dissolved with constant dry gas flow (nmol/L)	[NH3] dissolved (ppm)	Depth (meter)	Hydrostatic Pressure Calibrated (bar)	[CH4] measured (ppm)	[N2O] measured (ppm)	[NH3] measured (ppm)	[H2O] measured (%)	Flow Carrier Gas (sccm)	Total Flow (sccm)	Cavity Pressure (mbar)	Cellule Temperature (Degree Celsius)	Hydrostatic pressure (bar)	LShift	Error Standard	Ringdown Time (microSec)	Box Temperature (Degree Celsius)	Box Pressure (mbar)	PWM Cellule Temperature	PWM Cellule Pressure	Laser Temperature (Degree Celsius)	Laser Flux	Norm Signal	Value Max
2024/07/05	18:41:13	2024/07/05	18:41:21	7.35947	8.15954	271.056	300.524	-0.0347526	-0.0385307	-1.27997	-1.41912	-0.152041	3.88252	0.3904	2.419	0.188	-0.041	-39.228	1.99937	9.99969	30.0469	40.026	0.244	3.883	0.0202	27.725	22.934	4.685	42.020	34.990	48.392	52.159	0.916	0.7614
2024/07/05	18:41:14	2024/07/05	18:41:22	6.95267	7.70852	252.481	279.929	0.154203	0.170967	5.59974	6.20851	-0.0594809	3.94616	0.3968	2.616	0.094	0.025	0.504	2	10	30	39.997	0.248	3.721	0.0065	27.669	22.937	4.660	41.160	34.990	48.391	52.167	0.926	0.7684
2024/07/05	18:41:15	2024/07/05	18:41:23	5.82438	6.45757	210.465	233.346	0.203688	0.225832	7.36032	8.16049	0.0232453	3.88252	0.3904	2.363	0.181	-0.020	7.714	1.99969	9.99969	30	40.007	0.244	3.684	0.0091	27.457	22.936	4.685	41.330	34.990	48.389	52.163	0.875	0.7204
2024/07/05	18:41:16	2024/07/05	18:41:24	6.59319	7.30996	236.214	261.894	0.39297	0.435691	14.0789	15.6095	-0.0468906	3.94616	0.3968	2.347	0.282	0.002	0.846	2	9.99969	29.9531	39.992	0.248	3.711	0.0071	27.454	22.934	4.685	41.850	34.990	48.388	52.167	0.879	0.7232
2024/07/05	18:41:17	2024/07/05	18:41:25	5.42921	6.01944	192.456	213.378	0.353218	0.391618	12.521	13.8822	-0.08689	3.88252	0.3904	3.271	0.279	-0.022	2.930	2	10.0003	29.9531	40.002	0.244	3.814	0.0151	27.556	22.937	4.685	41.850	34.990	48.395	52.163	0.920	0.7604
2024/07/05	18:41:18	2024/07/05	18:41:26	9.0202	10.0008	334.073	370.392	-0.159846	-0.177223	-5.92007	-6.56366	0.73228	3.94616	0.3968	3.115	-0.459	0.580	-95.709	1.99937	10.0003	29.9688	40.005	0.248	3.951	0.0441	27.617	22.936	4.685	41.500	34.990	48.387	52.159	0.878	0.7267
2024/07/05	18:41:19	2024/07/05	18:41:27	6.27152	6.95333	228.702	253.565	0.21385	0.237098	7.79839	8.64618	0.0296152	3.94616	0.3968	2.404	-0.015	-0.046	9.350	2.00031	9.99969	29.9688	40.005	0.248	3.693	0.0245	27.704	22.936	4.685	41.500	34.990	48.388	52.171	0.888	0.7377
2024/07/05	18:41:20	2024/07/05	18:41:28	5.32302	5.90171	193.275	214.287	0.602608	0.66812	21.8803	24.259	-0.161932	3.94616	0.3968	1.883	0.217	0.366	-11.225	2	9.99938	30.0156	39.993	0.248	3.749	0.0247	27.499	22.932	4.685	42.540	34.990	48.390	52.163	0.806	0.6643
2024/07/05	18:41:21	2024/07/05	18:41:29	6.98111	7.74006	251.089	278.386	0.801793	0.888959	28.838	31.9731	-0.0867436	4.00981	0.4032	2.934	-0.032	-0.140	16.150	2.00031	9.99969	29.9531	39.999	0.252	3.753	0.0256	27.614	22.932	4.660	42.540	34.990	48.386	52.163	0.907	0.7510
2024/07/05	18:41:22	2024/07/05	18:41:30	5.8898	6.5301	211.826	234.854	0.23688	0.262632	8.51934	9.44551	-0.0522716	3.94616	0.3968	2.733	0.140	-0.054	0.800	2	9.99969	30	40.005	0.248	3.680	0.0056	27.743	22.936	4.660	42.020	34.990	48.387	52.167	0.920	0.7653
