Date,Time,Date calibrated,Time calibrated,[CH4] dissolved with water vapour (ppm),[CH4] dissolved with water vapour (nmol/L),[CH4] dissolved with constant dry gas flow (ppm),[CH4] dissolved with constant dry gas flow (nmol/L),[C2H6] dissolved (ppm),Delta 13 CH4 (per-mille),Depth (meter),Hydrostatic Pressure Calibrated (bar),[CH4] measured (ppm),[H2O] measured (%),[C13] measured (ppm),[C2H6] measured (ppm),Flow Carrier Gas (sccm),Total Flow (sccm),Cavity Pressure (mbar),Cellule Temperature (Degree Celsius),Hydrostatic pressure (bar),LShift,Error Standard,Ringdown Time (microSec),Box Temperature (Degree Celsius),Box Pressure (mbar),PWM Cellule Temperature,PWM Cellule Pressure,Laser Temperature (Degree Celsius),Laser Flux,Norm Signal,Value Max,datetime,[CH4] dissolved with water vapour (ppm)_RSD,[CH4] dissolved with water vapour (nmol/L)_RSD,Cavity Pressure (mbar)_FLAG,Cellule Temperature (Degree Celsius)_FLAG,Depth (meter)_FLAG,Flow Carrier Gas (sccm)_FLAG,Total Flow (sccm)_FLAG,Error Standard_FLAG,[C2H6] dissolved (ppm)_FLAG,Delta 13 CH4 (per-mille)_FLAG,[CH4] dissolved with water vapour (ppm)_FLAG,[CH4] dissolved with water vapour (nmol/L)_FLAG
2024/07/08,13:22:14,2024/07/08,13:22:30,7.5838,8.40826,86.5082,95.9128,0.0540291,69.5303,0.429626,0.0432,2.027,3.348,0.918,0.025,2.00094,5.0025,30.0,40.0,0.027,-2.381,0.0068,14.354,27.032,3.66,29.52,31.99,15.897,54.875,2.436,1.0453,2024-07-08 13:22:14,6.09720720483135e-06,5.499354206458886e-06,0,0,0,0,0,0,0,0,0,0
2024/07/08,13:22:15,2024/07/08,13:22:31,7.80839,8.65727,89.1032,98.79,0.0392817,-43.6931,0.365978,0.0368,1.93,3.186,0.899,0.016,2.00125,5.00281,30.0156,40.016,0.023,-2.371,0.0084,14.336,27.032,4.099,30.21,31.99,15.895,54.875,2.436,1.0451,2024-07-08 13:22:15,9.036433887139345e-06,8.150375349272922e-06,0,0,0,0,0,0,0,0,0,0
2024/07/08,13:22:16,2024/07/08,13:22:32,7.35361,8.15306,83.9637,93.0918,0.0981517,192.781,0.365978,0.0368,1.925,3.31,0.941,0.016,2.00094,5.00312,29.9844,40.0,0.023,-2.389,0.0077,14.353,27.032,3.465,30.21,31.99,15.896,54.875,2.436,1.0451,2024-07-08 13:22:16,8.062706616206191e-06,7.272116236112577e-06,0,0,0,0,0,0,0,0,0,0
2024/07/08,13:22:17,2024/07/08,13:22:33,7.73683,8.57793,88.3621,97.9683,0.0441542,-202.534,0.365978,0.0368,1.898,2.976,0.962,0.012,2.00031,5.00281,29.9844,39.968,0.023,-2.386,0.0075,14.37,27.031,6.246,30.73,31.99,15.896,54.875,2.436,1.0448,2024-07-08 13:22:17,7.270419538751659e-06,6.55752611644068e-06,0,0,0,0,0,0,0,0,0,0
2024/07/08,13:22:18,2024/07/08,13:22:34,7.73131,8.57181,88.3262,97.9285,0.0539564,-28.4548,0.365978,0.0368,1.95,3.174,0.796,0.012,2.00094,5.00344,30.0156,40.011,0.023,-2.393,0.0082,14.353,27.031,4.294,30.04,31.99,15.896,54.875,2.435,1.0448,2024-07-08 13:22:18,8.697103078262288e-06,7.844317594533712e-06,0,0,0,0,0,0,0,0,0,0
2024/07/08,13:22:19,2024/07/08,13:22:35,7.81716,8.667,89.3174,99.0275,0.0833566,-89.8548,0.365978,0.0368,2.037,3.202,0.934,0.008,2.00062,5.00219,30.0156,40.005,0.023,-2.384,0.0072,14.358,27.029,4.124,30.04,31.99,15.899,54.875,2.434,1.045,2024-07-08 13:22:19,6.631564404464025e-06,5.981308411214953e-06,0,0,0,0,0,0,0,0,0,0
2024/07/08,13:22:20,2024/07/08,13:22:36,7.18185,7.96261,82.1041,91.03,0.0392024,161.18,0.365978,0.0368,1.919,2.923,0.823,0.027,1.99937,5.00188,30.0,40.009,0.023,-2.391,0.0089,14.342,27.025,4.124,30.03,31.99,15.894,54.875,2.434,1.0448,2024-07-08 13:22:20,1.1029191642821835e-05,9.947743265085192e-06,0,0,0,0,0,0,0,0,0,0
2024/07/08,13:22:21,2024/07/08,13:22:37,7.11388,7.88726,81.3523,90.1964,0.0686043,25.427,0.365978,0.0368,1.934,2.968,0.855,0.011,2.00062,5.00344,30.0,40.012,0.023,-2.393,0.0666,14.327,27.024,4.124,29.69,31.99,15.894,54.875,2.433,1.0448,2024-07-08 13:22:21,0.0006235078466322177,0.0005623702020727098,0,0,0,0,0,0,0,0,0,0
2024/07/08,13:22:22,2024/07/08,13:22:38,7.79207,8.63917,89.0979,98.7841,0.0832937,-34.7591,0.365978,0.0368,1.894,2.93,0.954,0.017,2.00062,5.00219,30.0,40.007,0.023,-2.399,0.0073,14.327,27.024,4.075,29.69,31.99,15.9,54.875,2.432,1.0449,2024-07-08 13:22:22,6.839004269725503e-06,6.1684166418764765e-06,0,0,0,0,0,0,0,0,0,0
2024/07/08,13:22:23,2024/07/08,13:22:39,7.42812,8.23566,85.0024,94.2433,0.0,28.293,0.365978,0.0368,1.982,3.039,0.909,0.004,1.99969,5.00312,29.9844,40.012,0.023,-2.378,0.0078,14.358,27.024,3.758,30.55,31.99,15.899,54.879,2.431,1.0451,2024-07-08 13:22:23,8.190497730246683e-06,7.387386074704395e-06,0,0,0,0,0,0,0,0,0,0
