Date,Time,Date calibrated,Time calibrated,[CH4] dissolved with water vapour (ppm),[CH4] dissolved with water vapour (nmol/L),[CH4] dissolved with constant dry gas flow (ppm),[CH4] dissolved with constant dry gas flow (nmol/L),[N2O] dissolved with water vapour (ppm),[N2O] dissolved with water vapour (nmol/L),[N2O] dissolved with constant dry gas flow (ppm),[N2O] dissolved with constant dry gas flow (nmol/L),[NH3] dissolved (ppm),Depth (meter),Hydrostatic Pressure Calibrated (bar),[CH4] measured (ppm),[N2O] measured (ppm),[NH3] measured (ppm),[H2O] measured (%),Flow Carrier Gas (sccm),Total Flow (sccm),Cavity Pressure (mbar),Cellule Temperature (Degree Celsius),Hydrostatic pressure (bar),LShift,Error Standard,Ringdown Time (microSec),Box Temperature (Degree Celsius),Box Pressure (mbar),PWM Cellule Temperature,PWM Cellule Pressure,Laser Temperature (Degree Celsius),Laser Flux,Norm Signal,Value Max,datetime,[CH4] dissolved with water vapour (ppm)_RSD,[CH4] dissolved with water vapour (nmol/L)_RSD,[N2O] dissolved with water vapour (ppm)_RSD,[N2O] dissolved with water vapour (nmol/L)_RSD,Cavity Pressure (mbar)_FLAG,Cellule Temperature (Degree Celsius)_FLAG,Depth (meter)_FLAG,Flow Carrier Gas (sccm)_FLAG,Total Flow (sccm)_FLAG,Error Standard_FLAG,[CH4] dissolved with water vapour (ppm)_FLAG,[CH4] dissolved with water vapour (nmol/L)_FLAG,[N2O] dissolved with water vapour (ppm)_FLAG,[N2O] dissolved with water vapour (nmol/L)_FLAG
2024/07/06,15:24:16,2024/07/06,15:24:24,10.712,11.8765,186.628,206.917,-0.540896,-0.599699,-9.42368,-10.4482,0.298458,3.77113,0.3792,1.425,0.285,0.049,57.496,1.9975,9.99969,29.9844,39.737,0.237,0.541,0.0707,27.55,24.092,4.66,38.84,34.99,48.385,52.167,0.885,0.7312,2024-07-06 15:24:16,0.00046662528005974604,0.00042087231086599585,-0.009241129533218954,-0.008334998057358774,0,0,0,0,0,0,0,0,1,1
2024/07/06,15:24:17,2024/07/06,15:24:25,13.3203,14.7684,258.783,286.916,1.1972,1.32735,23.2589,25.7874,-0.807068,3.77113,0.3792,1.962,0.263,1.604,21.547,1.99875,9.99969,29.9531,39.72,0.237,0.459,0.0966,27.767,24.098,4.685,39.04,34.99,48.388,52.163,0.93,0.7742,2024-07-06 15:24:17,0.0007005517893741133,0.0006318599171203381,0.007794487136652189,0.0070302181037405365,0,0,0,0,0,0,0,0,0,0
2024/07/06,15:24:18,2024/07/06,15:24:26,12.2786,13.6134,258.749,286.879,1.10357,1.22355,23.2559,25.7841,-0.744049,3.77113,0.3792,1.962,0.263,1.604,21.547,1.99969,9.99969,30.0469,39.717,0.237,0.459,0.0565,27.485,24.092,4.66,39.58,34.99,48.388,52.171,0.733,0.6043,2024-07-06 15:24:18,0.00025998485169318977,0.00023449321991567135,0.002892657466223258,0.0026090065792162154,0,0,0,0,0,0,0,0,0,0
2024/07/06,15:24:19,2024/07/06,15:24:27,11.5296,12.7831,258.766,286.898,1.03626,1.14891,23.2574,25.7858,-0.698619,3.77113,0.3792,1.962,0.263,1.604,21.547,1.99937,9.99969,30.0156,39.735,0.237,0.459,0.1031,27.734,24.092,4.66,40.8,34.99,48.387,52.167,0.927,0.7707,2024-07-06 15:24:19,0.0009219409172911461,0.0008315361688479321,0.010257666994769652,0.009251908330504564,0,0,0,0,0,1,0,0,1,0
2024/07/06,15:24:20,2024/07/06,15:24:28,6.36277,7.0545,145.403,161.21,0.298296,0.330725,6.81669,7.55776,0.453336,3.77113,0.3792,1.962,0.263,1.604,21.547,1.99906,9.99969,30.0469,39.699,0.237,0.459,0.1299,27.867,24.094,4.685,40.14,34.99,48.388,52.171,0.924,0.7715,2024-07-06 15:24:20,0.0026519911925152093,0.002391949819264299,0.05656800627564566,0.05102127144908912,0,0,0,0,0,1,0,0,1,1
2024/07/06,15:24:21,2024/07/06,15:24:29,6.26813,6.94956,145.443,161.254,0.293859,0.325805,6.81856,7.55983,0.446555,3.70749,0.3728,1.962,0.263,1.604,21.547,1.99937,10.0016,30.0156,39.72,0.233,0.459,0.0973,27.534,24.091,4.66,40.16,34.99,48.388,52.171,0.812,0.6704,2024-07-06 15:24:21,0.0015103850749745137,0.0013622862454601443,0.032217117733334695,0.029058148278878468,0,0,0,0,0,0,0,0,1,1
2024/07/06,15:24:22,2024/07/06,15:24:30,11.381,12.6183,287.309,318.544,-0.706889,-0.783738,-17.8451,-19.7851,0.540281,3.77113,0.3792,1.831,0.023,-0.033,38.032,2.00219,9.99938,30.0,39.729,0.237,0.648,0.0157,27.717,24.094,4.66,40.53,34.99,48.383,52.167,0.905,0.7524,2024-07-06 15:24:22,2.1658026535453825e-05,1.953432712806004e-05,-0.0003486968958351311,-0.0003145056128451089,0,0,0,0,0,0,0,0,1,1
2024/07/06,15:24:23,2024/07/06,15:24:31,10.6189,11.7733,287.29,318.522,-0.65955,-0.731253,-17.8439,-19.7838,0.504165,3.77113,0.3792,1.831,0.023,-0.033,38.032,2.00125,10.0,29.9688,39.72,0.237,0.648,0.1471,27.633,24.094,4.685,39.52,34.99,48.389,52.171,0.912,0.7554,2024-07-06 15:24:23,0.0020377261298251234,0.0018379222477979838,-0.03280783867788645,-0.029590866635760812,0,0,0,0,0,1,0,0,1,1
2024/07/06,15:24:24,2024/07/06,15:24:32,10.0284,11.1187,287.354,318.594,-0.622879,-0.690594,-17.8479,-19.7882,0.47604,3.77113,0.3792,2.015,-0.235,0.13,84.681,1.99875,10.0003,30.0,39.725,0.237,0.629,0.0451,27.438,24.092,4.66,39.89,34.99,48.385,52.167,0.875,0.7199,2024-07-06 15:24:24,0.00020282497706513504,0.0001829359547429106,-0.003265497793311382,-0.0029453050562269585,0,0,0,0,0,0,0,0,1,1
2024/07/06,15:24:25,2024/07/06,15:24:33,9.55584,10.5947,287.308,318.543,-0.593525,-0.658049,-17.8451,-19.7851,0.453665,3.77113,0.3792,2.794,0.58,-0.392,-13.716,1.99906,10.0,30.0,39.723,0.237,0.395,0.0393,27.714,24.089,4.685,40.08,34.99,48.391,52.174,0.933,0.7755,2024-07-06 15:24:25,0.0001616278631705847,0.0001457794935203451,-0.0026022324249189172,-0.002347074457981093,0,0,0,0,0,0,0,0,1,1
