Date,Time,Date calibrated,Time calibrated,[CH4] dissolved with water vapour (ppm),[CH4] dissolved with water vapour (nmol/L),[CH4] dissolved with constant dry gas flow (ppm),[CH4] dissolved with constant dry gas flow (nmol/L),[N2O] dissolved with water vapour (ppm),[N2O] dissolved with water vapour (nmol/L),[N2O] dissolved with constant dry gas flow (ppm),[N2O] dissolved with constant dry gas flow (nmol/L),[NH3] dissolved (ppm),Depth (meter),Hydrostatic Pressure Calibrated (bar),[CH4] measured (ppm),[N2O] measured (ppm),[NH3] measured (ppm),[H2O] measured (%),Flow Carrier Gas (sccm),Total Flow (sccm),Cavity Pressure (mbar),Cellule Temperature (Degree Celsius),Hydrostatic pressure (bar),LShift,Error Standard,Ringdown Time (microSec),Box Temperature (Degree Celsius),Box Pressure (mbar),PWM Cellule Temperature,PWM Cellule Pressure,Laser Temperature (Degree Celsius),Laser Flux,Norm Signal,Value Max,datetime,[CH4] dissolved with water vapour (ppm)_RSD,[CH4] dissolved with water vapour (nmol/L)_RSD,[N2O] dissolved with water vapour (ppm)_RSD,[N2O] dissolved with water vapour (nmol/L)_RSD,Cavity Pressure (mbar)_FLAG,Cellule Temperature (Degree Celsius)_FLAG,Depth (meter)_FLAG,Flow Carrier Gas (sccm)_FLAG,Total Flow (sccm)_FLAG,Error Standard_FLAG,[CH4] dissolved with water vapour (ppm)_FLAG,[CH4] dissolved with water vapour (nmol/L)_FLAG,[N2O] dissolved with water vapour (ppm)_FLAG,[N2O] dissolved with water vapour (nmol/L)_FLAG
2024/07/05,18:41:13,2024/07/05,18:41:21,7.35947,8.15954,271.056,300.524,,,-1.27997,-1.41912,-0.152041,3.88252,0.3904,2.419,0.188,-0.041,-39.228,1.99937,9.99969,30.0469,40.026,0.244,3.883,0.0202,27.725,22.934,4.685,42.02,34.99,48.392,52.159,0.916,0.7614,2024-07-05 18:41:13,5.544420997707715e-05,5.000772102348907e-05,-0.011741279789138078,-0.010589997067273628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2024/07/05,18:41:14,2024/07/05,18:41:22,6.95267,7.70852,252.481,279.929,0.154203,0.170967,5.59974,6.20851,-0.0594809,3.94616,0.3968,2.616,0.094,0.025,0.504,2.0,10.0,30.0,39.997,0.248,3.721,0.0065,27.669,22.937,4.66,41.16,34.99,48.391,52.167,0.926,0.7684,2024-07-05 18:41:14,6.07680214939009e-06,5.480948353250689e-06,0.00027398948139789755,0.00024712371393309816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/07/05,18:41:15,2024/07/05,18:41:23,5.82438,6.45757,210.465,233.346,0.203688,0.225832,7.36032,8.16049,0.0232453,3.88252,0.3904,2.363,0.181,-0.02,7.714,1.99969,9.99969,30.0,40.007,0.244,3.684,0.0091,27.457,22.936,4.685,41.33,34.99,48.389,52.163,0.875,0.7204,2024-07-05 18:41:15,1.4217822326153172e-05,1.282370922808425e-05,0.0004065531597344959,0.00036668851181409186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/07/05,18:41:16,2024/07/05,18:41:24,6.59319,7.30996,236.214,261.894,0.39297,0.435691,14.0789,15.6095,-0.0468906,3.94616,0.3968,2.347,0.282,0.002,0.846,2.0,9.99969,29.9531,39.992,0.248,3.711,0.0071,27.454,22.934,4.685,41.85,34.99,48.388,52.167,0.879,0.7232,2024-07-05 18:41:16,7.645767830139888e-06,6.896070566733608e-06,0.00012827951243097439,0.00011570126534631196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/07/05,18:41:17,2024/07/05,18:41:25,5.42921,6.01944,192.456,213.378,0.353218,0.391618,12.521,13.8822,-0.08689,3.88252,0.3904,3.271,0.279,-0.022,2.93,2.0,10.0003,29.9531,40.002,0.244,3.814,0.0151,27.556,22.937,4.685,41.85,34.99,48.395,52.163,0.92,0.7604,2024-07-05 18:41:17,4.199690194337666e-05,3.787893890461571e-05,0.000645522028888675,0.0005822255361091676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/07/05,18:41:18,2024/07/05,18:41:26,9.0202,10.0008,334.073,370.392,,,-5.92007,-6.56366,0.73228,3.94616,0.3968,3.115,-0.459,0.58,-95.709,1.99937,10.0003,29.9688,40.005,0.248,3.951,0.0441,27.617,22.936,4.685,41.5,34.99,48.387,52.159,0.878,0.7267,2024-07-05 18:41:18,0.00021560608412230325,0.00019446544276457883,-0.012166773019030817,-0.010973801368896814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2024/07/05,18:41:19,2024/07/05,18:41:27,6.27152,6.95333,228.702,253.565,0.21385,0.237098,7.79839,8.64618,0.0296152,3.94616,0.3968,2.404,-0.015,-0.046,9.35,2.00031,9.99969,29.9688,40.005,0.248,3.693,0.0245,27.704,22.936,4.685,41.5,34.99,48.388,52.171,0.888,0.7377,2024-07-05 18:41:19,9.571044977931986e-05,8.632554473899557e-05,0.002806873977086743,0.002531653577845448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/07/05,18:41:20,2024/07/05,18:41:28,5.32302,5.90171,193.275,214.287,0.602608,0.66812,21.8803,24.259,-0.161932,3.94616,0.3968,1.883,0.217,0.366,-11.225,2.0,9.99938,30.0156,39.993,0.248,3.749,0.0247,27.499,22.932,4.685,42.54,34.99,48.39,52.163,0.806,0.6643,2024-07-05 18:41:20,0.00011461350887278275,0.00010337512348116055,0.0010124160316490984,0.0009131443453271866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/07/05,18:41:21,2024/07/05,18:41:29,6.98111,7.74006,251.089,278.386,0.801793,0.888959,28.838,31.9731,-0.0867436,4.00981,0.4032,2.934,-0.032,-0.14,16.15,2.00031,9.99969,29.9531,39.999,0.252,3.753,0.0256,27.614,22.932,4.66,42.54,34.99,48.386,52.163,0.907,0.751,2024-07-05 18:41:21,9.387618874362386e-05,8.467117825960006e-05,0.0008173680738045856,0.000737221851626453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/07/05,18:41:22,2024/07/05,18:41:30,5.8898,6.5301,211.826,234.854,0.23688,0.262632,8.51934,9.44551,-0.0522716,3.94616,0.3968,2.733,0.14,-0.054,0.8,2.0,9.99969,30.0,40.005,0.248,3.68,0.0056,27.743,22.936,4.66,42.02,34.99,48.387,52.167,0.92,0.7653,2024-07-05 18:41:22,5.324459234608984e-06,4.802376686421341e-06,0.00013238770685579195,0.00011940662219379208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
