Date,Time,Date calibrated,Time calibrated,[CH4] dissolved with water vapour (ppm),[CH4] dissolved with water vapour (nmol/L),[CH4] dissolved with constant dry gas flow (ppm),[CH4] dissolved with constant dry gas flow (nmol/L),[C2H6] dissolved (ppm),Delta 13 CH4 (per-mille),Depth (meter),Hydrostatic Pressure Calibrated (bar),[CH4] measured (ppm),[H2O] measured (%),[C13] measured (ppm),[C2H6] measured (ppm),Flow Carrier Gas (sccm),Total Flow (sccm),Cavity Pressure (mbar),Cellule Temperature (Degree Celsius),Hydrostatic pressure (bar),LShift,Error Standard,Ringdown Time (microSec),Box Temperature (Degree Celsius),Box Pressure (mbar),PWM Cellule Temperature,PWM Cellule Pressure,Laser Temperature (Degree Celsius),Laser Flux,Norm Signal,Value Max,datetime,[CH4] dissolved with water vapour (ppm)_RSD,[CH4] dissolved with water vapour (nmol/L)_RSD,Cavity Pressure (mbar)_FLAG,Cellule Temperature (Degree Celsius)_FLAG,Depth (meter)_FLAG,Flow Carrier Gas (sccm)_FLAG,Total Flow (sccm)_FLAG,Error Standard_FLAG,[C2H6] dissolved (ppm)_FLAG,Delta 13 CH4 (per-mille)_FLAG,[CH4] dissolved with water vapour (ppm)_FLAG,[CH4] dissolved with water vapour (nmol/L)_FLAG,is_downcast,Dry gas Flow [sccm],water vapour,[CH4] dissolved with water vapour (ppm) corrected Tcell,[CH4] dissolved with water vapour (nmol/L) corrected Tcell,H20 measured,[H2O] measured corrected Tcell,Total Flow (sccm) corrected Tcell
2024/07/06,15:20:20,2024/07/06,15:20:36,7.70552,8.54322,89.5938,99.3339,0.0289104,377.115,0.175033,0.0176,2.114,,0.847,0.037,2.00031,5.00219,30.0,39.789,0.011,7.342,0.0129,13.165,25.323,3.831,34.01,31.99,15.897,54.871,1.778,0.7041,2024-07-06 15:20:20,2.1596206355963e-05,1.947860408604718e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,7.720588658915037,7.720588658915037,,,
2024/07/06,15:20:21,2024/07/06,15:20:37,7.54147,8.36133,87.6668,97.1974,0.0481856,-66.1569,0.127297,0.0128,1.832,,1.014,0.054,2.0,5.00125,30.0156,39.775,0.008,7.399,0.0107,13.135,25.324,3.392,34.57,31.99,15.893,54.871,1.778,0.704,2024-07-06 15:20:21,1.5181390365538811e-05,1.3692797676924602e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,7.557198419209981,7.557198419209981,,,
2024/07/06,15:20:22,2024/07/06,15:20:38,7.45277,8.26299,86.6062,96.0215,0.0771233,-63.5581,0.127297,0.0128,1.905,1.866,1.103,-0.014,2.00062,5.00125,30.0156,39.79,0.008,7.37,0.0132,13.15,25.324,3.733,33.91,31.99,15.893,54.871,1.778,0.7039,2024-07-06 15:20:22,2.3379226784135292e-05,2.108679787824988e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2.9073066749999996,0.093323325,7.4672751820411145,7.4672751820411145,0.01866,0.018757254488798975,4.9266839294887985
2024/07/06,15:20:23,2024/07/06,15:20:39,7.11825,7.8921,82.7663,91.7641,0.0626306,-29.2682,0.127297,0.0128,1.886,1.8560000000000003,0.897,0.03,2.00062,5.00156,30.0,39.777,0.008,7.344,0.0179,13.135,25.326,4.197,33.95,31.99,15.9,54.871,1.778,0.7039,2024-07-06 15:20:23,4.501246795209496e-05,4.059882667477604e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2.9081110463999993,0.09282895360000001,7.1329635205019155,7.1329635205019155,0.018560000000000004,0.018662754701226848,4.927393801101227
2024/07/06,15:20:24,2024/07/06,15:20:40,8.16989,9.05807,94.9847,105.311,0.0192705,-58.0781,0.175033,0.0176,2.048,1.8329999999999997,1.161,0.028,2.0,5.00094,29.9844,39.794,0.011,7.38,0.0118,13.166,25.326,4.124,33.98,31.99,15.89,54.871,1.778,0.7042,2024-07-06 15:20:24,1.704306912332969e-05,1.5371928015570645e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2.9092727698,0.09166723019999999,8.185487446328981,8.185487446328981,0.01833,0.018423705545724332,4.927696475345725
2024/07/06,15:20:25,2024/07/06,15:20:41,7.6495,8.4811,88.9542,98.6248,0.197466,-21.3586,0.127297,0.0128,1.978,1.8650000000000002,1.093,0.005,1.99969,5.00063,30.0,39.792,0.008,7.381,0.0149,13.12,25.326,6.393,33.98,31.99,15.897,54.871,1.781,0.7044,2024-07-06 15:20:25,2.9022811948493365e-05,2.617702892313497e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2.9076782505,0.09326174950000002,7.664246009321936,7.664246009321936,0.018650000000000003,0.01874627185403182,4.926114522354032
2024/07/06,15:20:26,2024/07/06,15:20:42,7.86629,8.72147,91.4521,101.394,0.115634,241.119,0.127297,0.0128,1.964,2.0474,0.761,0.017,2.00062,5.00125,30.0,39.803,0.008,7.314,0.0122,13.121,25.326,4.27,33.5,31.99,15.899,54.871,1.783,0.7042,2024-07-06 15:20:26,1.892124495791536e-05,1.706593039934782e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2.8982344074999995,0.1023955925,7.880650515401691,7.880650515401691,0.020474000000000003,0.020574070840382666,4.919428478340382
2024/07/06,15:20:27,2024/07/06,15:20:43,6.54767,7.25949,76.1108,84.3852,0.00963696,193.499,0.127297,0.0128,2.108,2.0328000000000004,1.089,0.009,2.00094,5.00094,30.0156,39.773,0.008,7.342,0.0132,13.121,25.324,4.197,33.19,31.99,15.899,54.871,1.784,0.7039,2024-07-06 15:20:27,2.661099291809147e-05,2.4001686068856073e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2.89834089168,0.10165910832000001,6.56144739917642,6.56144739917642,0.020328000000000002,0.0204425730582394,4.91972346473824
2024/07/06,15:20:28,2024/07/06,15:20:44,7.17291,7.95271,83.429,92.4989,,-68.5729,0.127297,0.0128,1.853,1.9604,0.985,-0.026,2.00062,5.00156,30.0,39.804,0.008,7.396,0.0148,13.116,25.33,4.026,33.05,31.99,15.896,54.871,1.784,0.704,2024-07-06 15:20:28,3.053711812918328e-05,2.7542812450095632e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True,2.9028894177599995,0.09805058223999998,7.185938105785789,7.185938105785789,0.019604,0.019699329784667152,4.923208747544667
2024/07/06,15:20:29,2024/07/06,15:20:45,7.37704,8.17903,85.8301,95.161,,158.394,0.127297,0.0128,1.946,2.0312,1.192,0.01,2.00031,5.00188,29.9844,39.775,0.008,7.285,0.0138,13.121,25.328,4.172,33.95,31.99,15.894,54.871,1.784,0.7044,2024-07-06 15:20:29,2.58152321256222e-05,2.32839346475071e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True,2.89997181344,0.10159818656000001,7.392425485541784,7.392425485541784,0.020312,0.020425468584353228,4.9207072820243525
2024/07/06,15:20:30,2024/07/06,15:20:46,7.56492,8.38734,87.9839,97.549,,-250.93,0.127297,0.0128,1.85,2.0888,1.134,0.03,2.00062,5.00063,30.0,39.794,0.008,7.348,0.0125,13.124,25.328,4.172,33.47,31.99,15.893,54.871,1.785,0.704,2024-07-06 15:20:30,2.065454756957113e-05,1.8629267443551833e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True,2.89555684056,0.10445315944000001,7.579362475196487,7.579362475196487,0.020888,0.020994782402569002,4.917171622962568
2024/07/06,15:20:31,2024/07/06,15:20:47,6.16339,6.83343,71.7553,79.5561,0.0048116,452.033,0.175033,0.0176,2.031,2.02,1.109,-0.023,1.99969,5.00156,30.0,39.803,0.011,7.367,0.0135,13.121,25.328,3.733,33.47,31.99,15.891,54.871,1.786,0.704,2024-07-06 15:20:31,2.9569765989171544e-05,2.6670354419376504e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2.9008384879999993,0.10103151199999999,6.174641740912377,6.174641740912377,0.0202,0.020298731609638066,4.920827219609637
2024/07/06,15:20:32,2024/07/06,15:20:48,7.67634,8.51087,89.3451,99.0582,,79.4299,0.127297,0.0128,1.775,1.9446,0.842,0.032,2.00062,5.00188,30.0156,39.801,0.008,7.329,0.0147,13.124,25.326,4.099,33.67,31.99,15.891,54.875,1.786,0.704,2024-07-06 15:20:32,2.8150134048257374e-05,2.5389883760414622e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True,2.90399344152,0.09726655848,7.690496281029304,7.690496281029304,0.019446,0.01954201598254721,4.924155457502547
