Date,Time,Date calibrated,Time calibrated,[CH4] dissolved with water vapour (ppm),[CH4] dissolved with water vapour (nmol/L),[CH4] dissolved with constant dry gas flow (ppm),[CH4] dissolved with constant dry gas flow (nmol/L),[N2O] dissolved with water vapour (ppm),[N2O] dissolved with water vapour (nmol/L),[N2O] dissolved with constant dry gas flow (ppm),[N2O] dissolved with constant dry gas flow (nmol/L),[NH3] dissolved (ppm),Depth (meter),Hydrostatic Pressure Calibrated (bar),[CH4] measured (ppm),[N2O] measured (ppm),[NH3] measured (ppm),[H2O] measured (%),Flow Carrier Gas (sccm),Total Flow (sccm),Cavity Pressure (mbar),Cellule Temperature (Degree Celsius),Hydrostatic pressure (bar),LShift,Error Standard,Ringdown Time (microSec),Box Temperature (Degree Celsius),Box Pressure (mbar),PWM Cellule Temperature,PWM Cellule Pressure,Laser Temperature (Degree Celsius),Laser Flux,Norm Signal,Value Max,datetime,[CH4] dissolved with water vapour (ppm)_RSD,[CH4] dissolved with water vapour (nmol/L)_RSD,[N2O] dissolved with water vapour (ppm)_RSD,[N2O] dissolved with water vapour (nmol/L)_RSD,Cavity Pressure (mbar)_FLAG,Cellule Temperature (Degree Celsius)_FLAG,Depth (meter)_FLAG,Flow Carrier Gas (sccm)_FLAG,Total Flow (sccm)_FLAG,Error Standard_FLAG,[CH4] dissolved with water vapour (ppm)_FLAG,[CH4] dissolved with water vapour (nmol/L)_FLAG,[N2O] dissolved with water vapour (ppm)_FLAG,[N2O] dissolved with water vapour (nmol/L)_FLAG,is_downcast,Dry gas Flow [sccm],water vapour,[CH4] dissolved with water vapour (ppm) corrected Tcell,[CH4] dissolved with water vapour (nmol/L) corrected Tcell,H20 measured,[H2O] measured corrected Tcell,Total Flow (sccm) corrected Tcell
2024/07/08,13:17:33,2024/07/08,13:17:41,2.80905,3.11443,181.771,201.532,0.212591,0.235702,13.7565,15.252,-0.276306,3.77113,0.3792,2.116,0.415,-0.114,,1.99937,9.99969,30.0156,39.99,0.237,-12.895,0.015,27.722,24.404,4.66,40.93,34.99,48.386,52.178,0.946,0.7861,2024-07-08 13:17:33,8.00982538580659e-05,7.224435932096724e-05,0.0010583702978959597,0.0009545952092048434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,2.8093098611621574,2.8093098611621574,,,
2024/07/08,13:17:39,2024/07/08,13:17:47,6.04987,6.70758,337.031,373.671,,,2.44004,2.7053,0.538498,3.81887,0.384,2.013,0.089,-0.154,,2.00031,9.99969,30.0,40.0,0.24,-12.79,0.0577,27.769,24.4,4.66,40.58,34.99,48.384,52.174,0.941,0.7832,2024-07-08 13:17:39,0.0005503076925619889,0.000496347415908569,0.07601136075653141,0.068558219989086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,,,6.04987,6.04987,,,
2024/07/08,13:17:40,2024/07/08,13:17:48,5.1373,5.69579,268.756,297.974,,,-11.3202,-12.5508,-0.188869,3.77113,0.3792,1.968,0.344,-0.447,-13.5796,1.99844,10.0006,30.0156,40.0,0.237,-12.909,0.097,27.754,24.4,4.685,40.93,34.99,48.388,52.174,0.947,0.7876,2024-07-08 13:17:40,0.0018315068226500305,0.0016519218580741217,-0.043482480382279816,-0.03921887374432079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,9.3602014776,-1.3580414776,5.1373,5.1373,-0.135796,-0.135796,11.222845477600002
2024/07/08,13:17:43,2024/07/08,13:17:51,4.23156,4.69159,212.458,235.555,0.547244,0.606737,27.476,30.463,-0.929676,3.81887,0.384,2.232,0.072,0.287,-15.415200000000002,1.99969,9.99938,30.0625,40.009,0.24,-12.738,0.0142,27.622,24.407,4.685,40.58,34.99,48.388,52.171,0.848,0.7025,2024-07-08 13:17:43,4.765145714582802e-05,4.297903269467282e-05,0.0003684645240514287,0.00033233509741453055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,9.54111442576,-1.5414244257600003,4.231207751954649,4.231207751954649,-0.154152,-0.15411775349399612,11.386686672266004
2024/07/08,13:17:44,2024/07/08,13:17:52,4.46075,4.9457,219.317,243.16,,,-0.879967,-0.975632,0.935606,3.77113,0.3792,1.653,0.217,-0.361,4.3636,1.99969,10.0,30.0469,40.011,0.237,-12.765,0.0552,27.51,24.411,4.66,40.75,34.99,48.39,52.174,0.901,0.7433,2024-07-08 13:17:44,0.0006830779577425321,0.0006160988333299633,-0.1702456712798708,-0.15355278276119252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,7.563950000000001,0.43635999999999997,4.460296164865225,4.460296164865225,0.043636,0.04362415211652667,9.607264152116528
2024/07/08,13:17:45,2024/07/08,13:17:53,7.68125,8.51631,373.798,414.435,,,2.35943,2.61593,-0.184926,3.77113,0.3792,3.648,0.061,0.75,6.5409999999999995,1.99969,9.99906,29.9844,39.999,0.237,-12.765,0.083,27.782,24.411,4.66,40.75,34.99,48.388,52.171,0.949,0.7905,2024-07-08 13:17:45,0.000896859235150529,0.0008089184165442545,0.1420869393041886,0.12815456679701018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,7.3453314854,0.6540385146,7.681321052219733,7.681321052219733,0.06541,0.06541161501277466,9.410433100412774
2024/07/08,13:17:48,2024/07/08,13:17:56,3.24044,3.59272,143.11,158.669,0.304329,0.337414,13.4404,14.9015,0.0679224,3.77113,0.3792,2.909,-0.283,-0.247,17.9972,2.00031,9.99906,30.0156,40.005,0.237,-12.905,0.0358,27.781,24.414,4.685,40.75,34.99,48.388,52.171,0.915,0.7625,2024-07-08 13:17:48,0.0003955141894310649,0.0003567325035070921,0.004211363360047842,0.003798419745475884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,6.19919917368,1.79955082632,3.240290136581183,3.240290136581183,0.179972,0.17994978519901716,8.379458958879017
2024/07/08,13:17:53,2024/07/08,13:18:01,4.34772,4.82037,192.712,213.662,0.424127,0.470236,18.7994,20.8431,-0.388923,3.81887,0.384,4.047,0.059,-0.225,33.593599999999995,2.0,9.99938,30.0156,40.016,0.24,-12.615,0.0405,27.803,24.414,4.66,40.58,34.99,48.391,52.178,0.944,0.7873,2024-07-08 13:17:53,0.00037726670530760953,0.00034027470920282055,0.003867355768437284,0.0034881421243800987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4.640228280320001,3.35915171968,4.347076632658366,4.347076632658366,0.33593599999999996,0.3358033442468887,6.97603162456689
2024/07/08,13:17:54,2024/07/08,13:18:02,4.34659,4.81912,192.697,213.645,0.424017,0.470114,18.7979,20.8415,-0.38884,3.77113,0.3792,1.549,0.336,0.075,20.5794,1.99937,9.99906,30.0156,40.028,0.237,-12.839,0.0457,27.687,24.42,4.66,40.4,34.99,48.387,52.174,0.92,0.7634,2024-07-08 13:17:54,0.0004804893031088738,0.00043337580305117943,0.004925486478136489,0.004442518197713746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5.94194344636,2.05774655364,4.345464524688106,4.345464524688106,0.205794,0.20565182877772936,8.14696527513773
2024/07/08,13:17:55,2024/07/08,13:18:03,4.50898,4.99916,198.777,220.387,,,7.59851,8.42458,-0.0426412,3.77113,0.3792,1.549,0.336,0.075,1.0033999999999978,2.0,9.99906,30.0,40.016,0.237,-12.839,0.0521,27.461,24.418,4.685,40.06,34.99,48.387,52.178,0.742,0.6105,2024-07-08 13:17:55,0.0006020008959897804,0.0005429732195008761,0.015748308791961107,0.01420413396127682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,7.8987294319600005,0.10033056803999978,4.508312769710083,4.508312769710083,0.010033999999999979,0.010030037733893582,9.908759469693894
