Date,Time,Date calibrated,Time calibrated,[CH4] dissolved with water vapour (ppm),[CH4] dissolved with water vapour (nmol/L),[CH4] dissolved with constant dry gas flow (ppm),[CH4] dissolved with constant dry gas flow (nmol/L),[N2O] dissolved with water vapour (ppm),[N2O] dissolved with water vapour (nmol/L),[N2O] dissolved with constant dry gas flow (ppm),[N2O] dissolved with constant dry gas flow (nmol/L),[NH3] dissolved (ppm),Depth (meter),Hydrostatic Pressure Calibrated (bar),Carrier gas pressure calibrated (bar),[CH4] measured (ppm),[N2O] measured (ppm),[NH3] measured (ppm),[H2O] measured (%),Flow Carrier Gas (sccm),Total Flow (sccm),Cavity Pressure (mbar),Cellule Temperature (Degree Celsius),Hydrostatic pressure (bar),LShift,Error Standard,Ringdown Time (microSec),Box Temperature (Degree Celsius),Carrier gas pressure (dbar),PWM Cellule Temperature,PWM Cellule Pressure,Laser Temperature (Degree Celsius),Laser Flux,Norm Signal,Value Max,datetime,[CH4] dissolved with water vapour (ppm)_RSD,[CH4] dissolved with water vapour (nmol/L)_RSD,[N2O] dissolved with water vapour (ppm)_RSD,[N2O] dissolved with water vapour (nmol/L)_RSD,Cavity Pressure (mbar)_FLAG,Cellule Temperature (Degree Celsius)_FLAG,Depth (meter)_FLAG,Flow Carrier Gas (sccm)_FLAG,Total Flow (sccm)_FLAG,Error Standard_FLAG,[CH4] dissolved with water vapour (ppm)_FLAG,[CH4] dissolved with water vapour (nmol/L)_FLAG,[N2O] dissolved with water vapour (ppm)_FLAG,[N2O] dissolved with water vapour (nmol/L)_FLAG
2024/12/11,10:47:27,2024/12/11,10:47:51,7.24241,13.8455,26.3049,50.2875,1.21535,2.3234,4.41421,8.43873,-0.210291,16.0544,1.5744,43.6931,5.181,0.627,0.012,6.611,1.99906,3.29219,30.0,39.66,0.984,0.018,0.0109,26.409,19.133,436.931,35.06,0.0,48.326,52.136,0.914,0.7235,2024-12-11 10:47:27,1.6404760293880076e-05,8.581127442129212e-06,9.775784753363228e-05,5.113626581733666e-05,0,0,0,0,0,0,0,0,0,0
2024/12/11,10:47:28,2024/12/11,10:47:52,7.38063,14.1097,25.402,48.5616,1.47189,2.81384,5.06583,9.68444,-0.139863,15.9402,1.5632,43.6614,5.33,0.439,-0.023,22.445,1.99969,3.2525,30.0,39.667,0.977,0.013,0.0106,26.42,19.135,436.614,35.08,0.0,48.331,52.129,0.911,0.7215,2024-12-11 10:47:28,1.5223632670923756e-05,7.963316016641034e-06,7.63372262872905e-05,3.993119722514429e-05,0,0,0,0,0,0,0,0,0,0
2024/12/11,10:47:29,2024/12/11,10:47:53,8.24672,15.7654,29.2377,55.8943,1.0823,2.06906,3.83716,7.33557,0.465253,15.9402,1.5632,43.6858,5.122,0.638,-0.02,22.13,1.99937,3.27281,30.0,39.641,0.977,0.031,0.0113,26.324,19.135,436.858,35.08,0.0,48.332,52.132,0.907,0.7158,2024-12-11 10:47:29,1.548373171394203e-05,8.099382191381126e-06,0.00011798022729372631,6.171401505997892e-05,0,0,0,0,0,0,0,0,0,0
2024/12/11,10:47:30,2024/12/11,10:47:54,8.66793,16.5707,29.9826,57.3184,1.12097,2.14298,3.87747,7.41264,-0.0338441,16.2502,1.5936,43.6589,5.741,0.329,-0.021,23.004,1.99875,3.25188,30.0,39.656,0.996,0.027,0.0104,26.401,19.135,436.589,35.46,0.0,48.33,52.132,0.909,0.7198,2024-12-11 10:47:30,1.2478181065144733e-05,6.527183522723844e-06,9.648786318991587e-05,5.0471772951684095e-05,0,0,0,0,0,0,0,0,0,0
2024/12/11,10:47:31,2024/12/11,10:47:55,8.09669,15.4786,27.9063,53.349,1.17492,2.24612,4.04952,7.74155,-0.0679707,16.1849,1.5872,43.698,4.801,0.571,0.045,-0.439,2.0,3.25375,30.0,39.653,0.992,0.064,0.0117,26.391,19.133,436.98,37.89,0.0,48.332,52.136,0.913,0.7224,2024-12-11 10:47:31,1.6906908872638077e-05,8.843823084775109e-06,0.00011651006025942192,6.094509643295995e-05,0,0,0,0,0,0,0,0,0,0
2024/12/11,10:47:32,2024/12/11,10:47:56,6.90286,13.1963,25.2046,48.1841,1.58826,3.0363,5.79924,11.0865,0.403858,16.1197,1.5808,43.6882,5.267,0.374,-0.041,18.593,1.99875,3.29156,30.0,39.656,0.988,0.055,0.0107,26.342,19.135,436.882,36.89,0.0,48.332,52.132,0.915,0.7222,2024-12-11 10:47:32,1.6585878896573302e-05,8.67591673423611e-06,7.208517497135229e-05,3.7707077693245056e-05,0,0,0,0,0,0,0,0,0,0
2024/12/11,10:47:33,2024/12/11,10:47:57,7.74617,14.8085,28.9598,55.3629,1.02682,1.963,3.83887,7.33885,0.623117,15.9891,1.568,43.6614,5.062,0.419,-0.031,23.598,1.99969,3.30906,30.0156,39.644,0.98,0.09,0.0118,26.447,19.135,436.614,36.58,0.0,48.332,52.136,0.911,0.7221,2024-12-11 10:47:33,1.797533490744458e-05,9.402707904244183e-06,0.00013560312420872207,7.093224656138564e-05,0,0,0,0,0,0,0,0,0,0
2024/12/11,10:47:34,2024/12/11,10:47:58,7.56024,14.4531,28.6311,54.7346,0.905837,1.73171,3.43046,6.55808,0.927084,16.0544,1.5744,43.7004,5.022,0.294,0.255,4.038,1.99937,3.31219,30.0,39.661,0.984,0.134,0.0129,26.265,19.135,437.004,36.43,0.0,48.328,52.136,0.905,0.7127,2024-12-11 10:47:34,2.2011205993460523e-05,1.1513792888722834e-05,0.00018370854800587745,9.609576661219257e-05,0,0,0,0,0,0,0,0,0,0
2024/12/11,10:47:35,2024/12/11,10:47:59,7.52285,14.3816,26.6835,51.0113,0.889062,1.69964,3.15349,6.02859,0.813148,15.9891,1.568,43.676,5.362,0.333,-0.028,18.025,1.99906,3.23344,30.0,39.655,0.98,0.106,0.0112,26.347,19.138,436.76,37.67,0.0,48.332,52.136,0.908,0.7174,2024-12-11 10:47:35,1.667453159374439e-05,8.722256216276352e-06,0.00014109252223129545,7.380386434774423e-05,0,0,0,0,0,0,0,0,0,0
2024/12/11,10:47:36,2024/12/11,10:48:00,6.80808,13.0151,24.7806,47.3735,1.737,3.32065,6.32246,12.0868,-0.118518,15.9402,1.5632,43.6638,4.697,0.578,-0.005,21.593,1.99969,3.26812,29.9844,39.646,0.977,0.141,0.0103,26.233,19.136,436.638,37.87,0.0,48.33,52.14,0.892,0.7016,2024-12-11 10:47:36,1.5582954371864022e-05,8.15130118093599e-06,6.107656879677605e-05,3.1948564287112466e-05,0,0,0,0,0,0,0,0,0,0
