Date,Time,Date calibrated,Time calibrated,[CH4] dissolved with water vapour (ppm),[CH4] dissolved with water vapour (nmol/L),[CH4] dissolved with constant dry gas flow (ppm),[CH4] dissolved with constant dry gas flow (nmol/L),[N2O] dissolved with water vapour (ppm),[N2O] dissolved with water vapour (nmol/L),[N2O] dissolved with constant dry gas flow (ppm),[N2O] dissolved with constant dry gas flow (nmol/L),[NH3] dissolved (ppm),Depth (meter),Hydrostatic Pressure Calibrated (bar),Carrier gas pressure calibrated (bar),[CH4] measured (ppm),[N2O] measured (ppm),[NH3] measured (ppm),[H2O] measured (%),Flow Carrier Gas (sccm),Total Flow (sccm),Cavity Pressure (mbar),Cellule Temperature (Degree Celsius),Hydrostatic pressure (bar),LShift,Error Standard,Ringdown Time (microSec),Box Temperature (Degree Celsius),Carrier gas pressure (dbar),PWM Cellule Temperature,PWM Cellule Pressure,Laser Temperature (Degree Celsius),Laser Flux,Norm Signal,Value Max,datetime,[CH4] dissolved with water vapour (ppm)_RSD,[CH4] dissolved with water vapour (nmol/L)_RSD,[N2O] dissolved with water vapour (ppm)_RSD,[N2O] dissolved with water vapour (nmol/L)_RSD,Cavity Pressure (mbar)_FLAG,Cellule Temperature (Degree Celsius)_FLAG,Depth (meter)_FLAG,Flow Carrier Gas (sccm)_FLAG,Total Flow (sccm)_FLAG,Error Standard_FLAG,[CH4] dissolved with water vapour (ppm)_FLAG,[CH4] dissolved with water vapour (nmol/L)_FLAG,[N2O] dissolved with water vapour (ppm)_FLAG,[N2O] dissolved with water vapour (nmol/L)_FLAG
2024/11/27,12:58:45,2024/11/27,12:58:54,8.50934,9.43443,185.939,206.154,1.1806,1.30895,25.7976,28.6021,0.0536637,-1.40027,-0.1408,45.2864,2.37,0.863,-0.026,15.344,2.0,8.62219,30.0469,39.699,-0.088,0.597,0.012,26.631,25.366,452.864,37.02,0.0,48.314,52.148,0.889,0.7094,2024-11-27 12:58:45,1.69225815398139e-05,1.5263243248399744e-05,0.00012197187870574284,0.00011001184155238931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/11/27,12:58:46,2024/11/27,12:58:55,11.1496,12.3617,250.431,277.656,0.727283,0.806349,16.3355,18.1114,0.252027,-1.46392,-0.1472,45.284,3.183,0.541,0.051,9.73,1.99969,8.68219,30.0469,39.696,-0.092,0.554,0.009,26.571,25.37,452.84,37.39,0.0,48.314,52.148,0.89,0.7093,2024-11-27 12:58:46,7.264834612900911e-06,6.552496824870364e-06,0.00011137342685034572,0.00010045278161193229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/11/27,12:58:47,2024/11/27,12:58:56,8.91409,9.88318,210.75,233.661,0.86404,0.957973,20.4279,22.6487,0.147628,-1.27297,-0.128,45.323,2.764,0.634,0.003,16.463,2.0,8.90375,29.9375,39.674,-0.08,0.564,0.0059,26.445,25.37,453.23,37.39,0.0,48.315,52.152,0.874,0.693,2024-11-27 12:58:47,3.905053684672244e-06,3.5221457061391172e-06,4.0287486690431e-05,3.63371410258953e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/11/27,12:58:48,2024/11/27,12:58:57,10.1192,11.2192,230.164,255.186,0.827973,0.917985,18.8325,20.8799,-0.0198047,-1.27297,-0.128,45.2596,2.787,0.665,0.022,13.792,1.99969,8.66281,29.9531,39.694,-0.08,0.473,0.0039,26.587,25.37,452.596,37.76,0.0,48.316,52.152,0.882,0.7031,2024-11-27 12:58:48,1.5030832476875641e-06,1.3557116371933825e-06,1.8370164244486232e-05,1.6568898184610856e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/11/27,12:58:49,2024/11/27,12:58:58,7.99359,8.86261,179.902,199.459,1.34414,1.49027,30.2509,33.5396,0.00759779,-1.03429,-0.104,45.2571,2.467,0.79,-0.062,31.144,2.0,8.54969,30.0469,39.704,-0.065,0.55,0.0115,26.603,25.372,452.571,37.79,0.0,48.317,52.148,0.89,0.7097,2024-11-27 12:58:49,1.6544506285661384e-05,1.4922240739466138e-05,9.839004865564598e-05,8.874230844075233e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/11/27,12:58:50,2024/11/27,12:58:59,8.55013,9.47965,194.124,215.228,1.11435,1.2355,25.3005,28.051,0.0256684,-1.33662,-0.1344,45.2425,2.402,0.849,-0.065,17.327,2.0,8.57031,30.0156,39.711,-0.084,0.563,0.0135,26.862,25.377,452.425,37.64,0.0,48.315,52.148,0.89,0.7166,2024-11-27 12:58:50,2.1315465378888974e-05,1.9225393342581213e-05,0.00016354825683133665,0.00014751112909753135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/11/27,12:58:51,2024/11/27,12:59:00,9.33327,10.3479,219.765,243.657,0.958646,1.06286,22.5727,25.0267,0.102889,-1.27297,-0.128,45.2571,2.45,0.852,-0.058,20.221,1.99969,8.77781,30.0313,39.701,-0.08,0.539,0.0107,26.585,25.377,452.571,37.67,0.0,48.316,52.152,0.89,0.7096,2024-11-27 12:58:51,1.2266868953753612e-05,1.1064080634718154e-05,0.00011942886112287537,0.00010771879645484823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/11/27,12:58:52,2024/11/27,12:59:01,9.35565,10.3727,215.133,238.521,1.13238,1.25548,26.039,28.8698,0.0465574,-1.27297,-0.128,45.2937,2.765,0.66,0.034,10.382,2.00031,8.63375,29.9844,39.711,-0.08,0.496,0.0043,26.518,25.38,452.937,37.87,0.0,48.317,52.152,0.877,0.6972,2024-11-27 12:58:52,1.9763458444896934e-06,1.7825638454789979e-06,1.6328440982708988e-05,1.4727434925287542e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/11/27,12:58:53,2024/11/27,12:59:02,9.24902,10.2545,210.092,232.932,1.11563,1.23692,25.3417,28.0967,0.0512656,-1.33662,-0.1344,45.2718,2.892,0.505,0.137,0.317,1.99969,8.5625,30.0156,39.687,-0.084,0.591,0.0097,26.591,25.382,452.718,37.2,0.0,48.316,52.152,0.895,0.7131,2024-11-27 12:58:53,1.017296967678738e-05,9.175483933882685e-06,8.43379973647177e-05,7.606797529347088e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024/11/27,12:58:54,2024/11/27,12:59:03,8.02929,8.90219,185.101,205.224,1.16579,1.29253,26.8752,29.797,0.0313783,-1.40027,-0.1408,45.2547,2.328,0.746,0.034,-1.214,1.99969,8.61156,30.0625,39.711,-0.088,0.52,0.012,26.641,25.382,452.547,37.74,0.0,48.317,52.14,0.883,0.7052,2024-11-27 12:58:54,1.793433790534406e-05,1.6175794944839417e-05,0.0001235213889293955,0.00011140940635807293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
