Date	Time	Date calibrated	Time calibrated	[CH4] dissolved with water vapour (ppm)	[CH4] dissolved with water vapour (nmol/L)	[CH4] dissolved with constant dry gas flow (ppm)	[CH4] dissolved with constant dry gas flow (nmol/L)	[N2O] dissolved with water vapour (ppm)	[N2O] dissolved with water vapour (nmol/L)	[N2O] dissolved with constant dry gas flow (ppm)	[N2O] dissolved with constant dry gas flow (nmol/L)	[NH3] dissolved (ppm)	Depth (meter)	Hydrostatic Pressure Calibrated (bar)	[CH4] measured (ppm)	[N2O] measured (ppm)	[NH3] measured (ppm)	[H2O] measured (%)	Flow Carrier Gas (sccm)	Total Flow (sccm)	Cavity Pressure (mbar)	Cellule Temperature (Degree Celsius)	Hydrostatic pressure (bar)	LShift	Error Standard	Ringdown Time (microSec)	Box Temperature (Degree Celsius)	Box Pressure (mbar)	PWM Cellule Temperature	PWM Cellule Pressure	Laser Temperature (Degree Celsius)	Laser Flux	Norm Signal	Value Max
2024/07/14	12:13:07	2024/07/14	12:13:15	211.941	234.982	317.774	352.32	-8.67449	-9.61753	-13.0061	-14.42	-53.7348	4.55081	0.4576	4.576	-0.615	0.512	-30.214	1.99969	10.0009	30.0625	39.954	0.286	-0.090	0.0596	27.793	28.312	4.636	25.270	34.990	48.386	52.186	0.939	0.7823
2024/07/14	12:13:08	2024/07/14	12:13:16	25.6463	28.4344	213.409	236.609	-0.514559	-0.570499	-4.28177	-4.74726	7.37368	4.61446	0.464	1.351	1.151	-0.313	34.002	1.99969	9.99969	30.0469	39.940	0.290	-0.205	0.0486	27.733	28.312	4.636	25.620	34.990	48.383	52.190	0.941	0.7820
2024/07/14	12:13:09	2024/07/14	12:13:17	50.1792	55.6343	520.717	577.327	-1.89339	-2.09923	-19.648	-21.784	0.343061	4.61446	0.464	3.009	-0.352	0.605	-28.536	2	10	30.0156	39.961	0.290	-0.054	0.0412	27.735	28.308	4.636	25.450	34.990	48.378	52.190	0.929	0.7721
2024/07/14	12:13:10	2024/07/14	12:13:18	25.4252	28.1892	334.038	370.352	-1.65092	-1.8304	-21.6899	-24.0479	1.12656	4.55081	0.4576	1.573	1.142	-0.440	65.555	2	10.0006	30.0156	39.957	0.286	-0.070	0.0418	27.616	28.308	4.636	25.110	34.990	48.381	52.190	0.924	0.7649
2024/07/14	12:13:11	2024/07/14	12:13:19	22.3187	24.7451	269.896	299.237	0.251508	0.27885	3.04143	3.37208	-1.81596	4.61446	0.464	2.192	-0.080	1.111	-30.858	2	10	29.9844	39.952	0.290	0.110	0.0528	27.583	28.312	4.660	25.110	34.990	48.379	52.186	0.909	0.7520
2024/07/14	12:13:12	2024/07/14	12:13:20	352.542	390.868	204.357	226.574	27.062	30.004	15.687	17.3924	-86.9464	4.67811	0.4704	2.184	-0.220	0.822	-19.213	2.00031	10	29.9531	39.947	0.294	-0.104	0.0610	27.849	28.312	4.660	25.290	34.990	48.381	52.182	0.937	0.7823
2024/07/14	12:13:13	2024/07/14	12:13:21	48.3728	53.6316	235.075	260.631	-1.87777	-2.08191	-9.12529	-10.1173	12.4629	4.67811	0.4704	1.486	0.992	-0.328	27.105	2.00031	10.0009	30.0156	39.940	0.294	-0.230	0.0420	27.672	28.312	4.660	25.640	34.990	48.381	52.186	0.942	0.7816
2024/07/14	12:13:14	2024/07/14	12:13:22	33.0711	36.6663	218.888	242.684	-0.139074	-0.154193	-0.920491	-1.02056	2.41156	4.61446	0.464	1.545	1.598	-0.470	70.147	2.00031	10.0009	30.0156	39.945	0.290	-0.070	0.0447	27.691	28.315	4.660	24.950	34.990	48.382	52.190	0.935	0.7760
2024/07/14	12:13:15	2024/07/14	12:13:23	70.834	78.5347	514.457	570.386	-6.08302	-6.74433	-44.1801	-48.9831	1.00239	4.55081	0.4576	3.438	-0.325	-2.014	597.629	2	10.0003	30.0469	39.959	0.286	-0.302	0.0417	27.738	28.313	4.660	25.820	34.990	48.377	52.193	0.935	0.7773
2024/07/14	12:13:16	2024/07/14	12:13:24	-25.8932	-28.7082	311.806	345.704	3.03453	3.36443	-36.5419	-40.5145	8.16216	4.61446	0.464	2.309	-0.107	1.534	-94.331	2	10.0009	29.9531	39.952	0.290	-0.190	0.0319	27.583	28.315	4.636	25.300	34.990	48.380	52.182	0.886	0.7326
2024/07/14	12:13:17	2024/07/14	12:13:25	-61.8977	-68.6268	576.359	639.018	3.91935	4.34544	-36.495	-40.4625	-1.10837	4.61446	0.464	5.634	-0.491	0.089	2.696	2.00031	10.0006	29.9688	39.956	0.290	-0.194	0.0244	27.716	28.315	4.636	25.300	34.990	48.381	52.186	0.937	0.7787
2024/07/14	12:13:18	2024/07/14	12:13:26	-40.4757	-44.876	377.953	419.041	1.72716	1.91493	-16.1279	-17.8812	3.23447	4.61446	0.464	3.614	-0.542	0.370	-28.687	1.99937	10.0009	29.9063	39.957	0.290	-0.037	0.0408	27.746	28.315	4.660	25.310	34.990	48.383	52.193	0.941	0.7827
2024/07/14	12:13:19	2024/07/14	12:13:27	-47.5619	-52.7326	321.745	356.723	-0.834115	-0.924795	5.64259	6.25602	-3.00962	4.61446	0.464	2.920	0.076	-0.549	80.874	2	9.99969	30	39.949	0.290	0.062	0.0411	27.680	28.315	4.636	25.660	34.990	48.385	52.186	0.924	0.7665
2024/07/14	12:13:20	2024/07/14	12:13:28	-29.7447	-32.9784	201.837	223.779	-3.0368	-3.36694	20.6066	22.8468	2.12796	4.55081	0.4576	2.211	0.392	-1.260	452.196	2	9.99969	30.0156	39.952	0.286	-0.191	0.0399	27.686	28.313	4.636	25.660	34.990	48.379	52.186	0.929	0.7713
2024/07/14	12:13:21	2024/07/14	12:13:29	-22.9347	-25.428	128.082	142.006	-6.97816	-7.73678	38.9704	43.207	1.16738	4.61446	0.464	2.543	-0.228	1.514	-81.937	2	9.99906	30.0313	39.947	0.290	0.035	0.0425	27.516	28.317	4.636	25.150	34.990	48.381	52.186	0.895	0.7383
2024/07/14	12:13:22	2024/07/14	12:13:30	-79.5423	-88.1897	351.744	389.984	1.25775	1.39449	-5.56192	-6.16657	-1.04026	4.55081	0.4576	2.368	-0.023	0.399	-2.377	2	10.0003	29.9844	39.952	0.286	-0.202	0.0537	27.544	28.322	4.660	25.320	34.990	48.380	52.186	0.835	0.6892
2024/07/14	12:13:23	2024/07/14	12:13:31	-104.073	-115.387	351.796	390.042	1.64564	1.82455	-5.56274	-6.16749	-1.36075	4.61446	0.464	5.566	-1.104	0.182	36.103	2	9.99938	30.0156	39.954	0.290	-0.211	0.0420	27.535	28.317	4.660	25.330	34.990	48.383	52.193	0.838	0.6915
2024/07/14	12:13:24	2024/07/14	12:13:32	-598.531	-663.599	551.452	611.403	41.0406	45.5023	-37.8125	-41.9232	-33.2114	4.61446	0.464	3.373	-0.913	-2.457	929.029	2.00031	9.99969	30.0156	39.945	0.290	-0.366	0.0466	27.659	28.319	4.636	25.500	34.990	48.386	52.186	0.911	0.7557
2024/07/14	12:13:25	2024/07/14	12:13:33	-145.875	-161.734	206.579	229.037	-26.4786	-29.3572	37.4973	41.5738	16.5521	4.61446	0.464	6.236	-0.912	0.258	-18.791	2.00031	10	30.0313	39.962	0.290	0.022	0.0370	27.721	28.322	4.660	25.510	34.990	48.385	52.186	0.936	0.7782
2024/07/14	12:13:26	2024/07/14	12:13:34	-109.548	-121.457	192.335	213.244	-17.5955	-19.5083	30.8926	34.251	6.69813	4.67811	0.4704	4.089	-0.403	-0.755	104.422	2	10	30.0469	39.957	0.294	0.104	0.0483	27.755	28.320	4.660	24.820	34.990	48.382	52.190	0.930	0.7742
