Date,Time,Date calibrated,Time calibrated,[CH4] dissolved with water vapour (ppm),[CH4] dissolved with water vapour (nmol/L),[CH4] dissolved with constant dry gas flow (ppm),[CH4] dissolved with constant dry gas flow (nmol/L),[N2O] dissolved with water vapour (ppm),[N2O] dissolved with water vapour (nmol/L),[N2O] dissolved with constant dry gas flow (ppm),[N2O] dissolved with constant dry gas flow (nmol/L),[NH3] dissolved (ppm),Depth (meter),Hydrostatic Pressure Calibrated (bar),[CH4] measured (ppm),[N2O] measured (ppm),[NH3] measured (ppm),[H2O] measured (%),Flow Carrier Gas (sccm),Total Flow (sccm),Cavity Pressure (mbar),Cellule Temperature (Degree Celsius),Hydrostatic pressure (bar),LShift,Error Standard,Ringdown Time (microSec),Box Temperature (Degree Celsius),Box Pressure (mbar),PWM Cellule Temperature,PWM Cellule Pressure,Laser Temperature (Degree Celsius),Laser Flux,Norm Signal,Value Max,datetime,[CH4] dissolved with water vapour (ppm)_RSD,[CH4] dissolved with water vapour (nmol/L)_RSD,[N2O] dissolved with water vapour (ppm)_RSD,[N2O] dissolved with water vapour (nmol/L)_RSD,Cavity Pressure (mbar)_FLAG,Cellule Temperature (Degree Celsius)_FLAG,Depth (meter)_FLAG,Flow Carrier Gas (sccm)_FLAG,Total Flow (sccm)_FLAG,Error Standard_FLAG,[CH4] dissolved with water vapour (ppm)_FLAG,[CH4] dissolved with water vapour (nmol/L)_FLAG,[N2O] dissolved with water vapour (ppm)_FLAG,[N2O] dissolved with water vapour (nmol/L)_FLAG,is_downcast,Dry gas Flow [sccm],water vapour,[CH4] dissolved with water vapour (ppm) corrected Tcell,[CH4] dissolved with water vapour (nmol/L) corrected Tcell,H20 measured,[H2O] measured corrected Tcell,Total Flow (sccm) corrected Tcell
2024/07/11,17:35:06,2024/07/11,17:35:14,3.6521,4.04913,163.274,181.024,0.119084,0.132031,5.32389,5.90267,0.202206,4.78949,0.4816,1.692,0.172,-0.048,,1.99969,10.0,30.0313,39.899,0.301,0.982,0.0128,27.729,32.788,4.636,22.03,34.99,48.371,52.205,0.95,0.7894,2024-07-11 17:35:06,4.4861860299553685e-05,4.046301304230786e-05,0.0013758355446575527,0.001240920692867584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,3.6555151650429414,3.6555151650429414,,,
2024/07/11,17:35:07,2024/07/11,17:35:15,5.15949,5.7204,199.551,221.245,0.134571,0.1492,5.20472,5.77054,-0.76946,4.78949,0.4816,2.03,-0.057,0.381,,1.99937,10.0,30.0,39.921,0.301,0.996,0.0205,27.681,32.788,4.612,21.7,34.99,48.371,52.209,0.949,0.7877,2024-07-11 17:35:07,8.145184892305248e-05,7.346514229774142e-05,0.003122886803248843,0.0028166890080428956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,5.163263054477059,5.163263054477059,,,
2024/07/11,17:35:08,2024/07/11,17:35:16,3.70567,4.10853,129.072,143.104,0.642458,0.712302,22.3774,24.8101,-0.256071,4.78949,0.4816,2.735,-0.14,1.112,-36.1642,1.99906,9.99906,29.9844,39.901,0.301,1.014,0.0301,27.078,32.786,4.636,21.87,34.99,48.368,52.209,0.848,0.688,2024-07-11 17:35:08,0.00024449289872006946,0.00022051926114693087,0.0014102244816003534,0.0012719464496800512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,11.616080056520001,-3.6160800565200004,3.709066577718546,3.709066577718546,-0.361642,-0.36252813113621757,13.252611925383784
2024/07/11,17:35:09,2024/07/11,17:35:17,4.88635,5.41756,206.229,228.649,,,-25.0252,-27.7458,0.55164,4.85313,0.488,1.273,1.098,-0.305,-73.728,1.99937,10.0009,30.0469,39.911,0.305,0.81,0.0442,27.6,32.79,4.636,21.71,34.99,48.369,52.197,0.952,0.7878,2024-07-11 17:35:09,0.00039981581343947944,0.00036061252667252423,-0.003294835902452188,-0.0029717630487328135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,15.374993552,-7.373463552,4.890376002043682,4.890376002043682,-0.7372799999999999,-0.738903674322994,16.635459877677004
2024/07/11,17:35:10,2024/07/11,17:35:18,3.53356,3.91771,143.419,159.011,0.0996263,0.110457,4.0436,4.4832,-0.175428,4.74175,0.4768,2.13,-0.013,0.104,-62.0264,1.99937,10.0003,30.0,39.921,0.298,0.837,0.0079,27.647,32.788,4.636,22.23,34.99,48.369,52.201,0.945,0.7836,2024-07-11 17:35:10,1.7662074508427763e-05,1.5930224544440504e-05,0.000626441010054574,0.0005650162506676807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,14.203756079199998,-6.2028260792,3.5361440372552244,3.5361440372552244,-0.620264,-0.6214761955341513,15.581649883665847
2024/07/11,17:35:11,2024/07/11,17:35:19,4.67108,5.17889,187.792,208.208,,,1.32109,1.46471,0.044774,4.85313,0.488,7.27,-0.115,1.324,-33.361,1.99937,10.0003,29.9844,39.918,0.305,1.061,0.041,27.695,32.788,4.636,20.87,34.99,48.369,52.209,0.953,0.7911,2024-07-11 17:35:11,0.00035987394778081306,0.000324586928859273,0.05115579846867355,0.046139742210315984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,11.337130082999998,-3.3362000829999996,4.674625703596178,4.674625703596178,-0.33360999999999996,-0.3342867903500068,13.002213292649992
2024/07/11,17:35:12,2024/07/11,17:35:20,3.56329,3.95067,140.744,156.045,0.354778,0.393347,14.0131,15.5365,-0.0010127,4.85313,0.488,1.491,0.086,-0.137,-30.276799999999998,1.99937,10.0,29.9844,39.918,0.305,0.794,0.0174,27.741,32.788,4.636,20.87,34.99,48.375,52.201,0.949,0.7891,2024-07-11 17:35:12,8.496642148127151e-05,7.663510240035233e-05,0.0008533787326158893,0.0007697020696738502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,11.02831,-3.0276799999999997,3.5659948070611556,3.5659948070611556,-0.302768,-0.3033822215781627,12.724297778421837
2024/07/11,17:35:13,2024/07/11,17:35:21,6.96283,7.71979,271.282,300.774,0.0770617,0.0854394,3.00243,3.32884,-0.140648,4.78949,0.4816,1.545,0.182,0.159,-3.1420000000000017,1.99937,9.99969,29.9219,39.906,0.301,0.929,0.0095,27.694,32.788,4.636,20.87,34.99,48.371,52.201,0.948,0.7869,2024-07-11 17:35:13,1.2961683683215014e-05,1.169073251992606e-05,0.0011711394895259253,0.001056304234346215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,8.314510259799999,-0.31419025980000015,6.968889449376233,6.968889449376233,-0.03142000000000002,-0.031493091055306635,10.282387168744693
2024/07/11,17:35:14,2024/07/11,17:35:22,5.82999,6.46379,221.274,245.329,0.0991526,0.109932,3.76328,4.1724,-0.200246,4.74175,0.4768,1.766,0.133,0.226,55.58299999999999,1.99937,10.0003,30.0313,39.921,0.298,0.804,0.0134,27.776,32.786,4.636,21.22,34.99,48.374,52.201,0.949,0.7906,2024-07-11 17:35:14,3.0799366722755964e-05,2.7779367832185144e-05,0.0018109459560314105,0.0016333733580759016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2.4424632509999995,5.558466748999999,5.834253380657915,5.834253380657915,0.5558299999999999,0.5569162707552708,4.99874952175527
2024/07/11,17:35:15,2024/07/11,17:35:23,5.74035,6.36441,211.505,234.499,,,-3.6037,-3.99547,-0.365854,4.78949,0.4816,2.158,0.13,-0.744,-0.3754000000000019,1.99937,10.0,30.0156,39.902,0.301,0.704,0.0265,27.666,32.785,4.636,21.23,34.99,48.373,52.209,0.923,0.766,2024-07-11 17:35:15,0.0001223357460782008,0.00011034015721802963,-0.007180015172862252,-0.006475991110209426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,8.03817,-0.03754000000000019,5.745558348643045,5.745558348643045,-0.003754000000000019,-0.003763105284809249,10.03377689471519
